,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
MIR17HG,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,1,10665
ZFPM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,965,0,0,0,0,0,0,316
ABI2,1,3,4,74,0,5,20,3,29,0,0,0,4,0,4,1156,36357,0,39,0,0,0,0,412
PDGFA,0,0,4,353,1,0,0,0,0,0,0,0,0,33,0,354,44,0,18,27,0,0,62,2915
ARFGEF2,0,0,2,58,439,1,1386,23,16,21,0,1327,105,68,2,0,0,1,2,29800,0,0,0,1
CCDC71L,0,4,0,0,1,3,56,1,0,749,0,1,0,0,2,40,15639,0,3,4254,0,127,0,0
WDR91,0,1,0,0,0,2431,1,1,256,0,1,2,1,0,0,0,4,0,0,0,0,0,1340,0
SLC14A1,3032,20,1,59,6,644,366,796,0,2397,2326,0,2022,1,0,1,2,0,0,0,1,0,5,0
ZC3H12C,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,197,1,0,2,98,0,0,0,2710
BLVRA,1698,10,2036,2497,1127,2,1655,12,1116,0,2237,3,1,0,0,0,0,16321,1770,31,14979,0,0,0
NDNL2,0,0,0,0,19,0,1,1,0,0,0,0,0,0,0,779,0,0,4,1,0,0,43,1785
RENBP,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,321,0,1,167,0,1,819,0,1395
STRBP,0,0,2,0,857,0,0,1,1077,752,0,5,0,0,0,1,0,2,654,0,6,3852,0,5099
CD47,588,4,256,54,7,7,184,10,191,0,5,5,0,0,5,6246,300,3,643,158,0,2,17745,2058
UBE2F,434,6,113,0,327,15,2027,649,537,2436,104,7,281,6449,18,7037,2,1,824,0,2,0,377,4152
RSC1A1,0,0,0,0,14,0,1,188,0,0,0,0,0,0,0,2800,0,0,50,0,0,0,0,0
NRF1,0,0,2,285,9,0,5,0,1,0,0,0,0,0,92,0,0,0,239,0,0,0,5222,4
MXD1,291,0,0,0,0,1,99,1,0,0,0,0,0,0,1,702,26,0,1,1557,0,0,7,378
PLA2G4C,0,0,0,0,0,0,0,0,64,1,1955,0,8,13,0,0,0,599,0,0,0,0,0,3942
SLC11A1,1,0,0,0,0,8,0,0,0,0,0,0,0,4,4,5,0,0,5,4100,0,0,2744,2
LRRC59,0,0,2237,1471,1422,0,6380,171,2927,2075,845,10,314,0,0,0,0,12729,3086,24,13265,4,0,113
MTMR3,16,5,0,8,3,0,476,1248,23,0,756,2,364,0,1,278,0,0,0,97,0,1,9445,557
ALAS2,18308,118,674,6816,2542,45478,7370,39299,1699,4841,16416,32,57759,7,17,702,53,13,572,44,18629,8,215,10
DNAJC9,252,2,2,646,375,79,215,0,111,661,1,3,1,1,0,4,0,0,36,0,0,0,6981,5983
TBC1D14,0,1,0,0,554,0,231,2,379,285,0,0,0,0,0,1855,0,0,15,7084,0,121,0,37
AQP10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,1,0,0,0,0,396
NR1D2,0,2,0,41,0,0,20,0,25,0,1,0,349,0,0,1558,1,1,154,17206,5,0,0,0
FOXO1,1,2,0,0,0,4,1,1,0,1,0,0,1,2,5,1617,2,1,7,32612,3,1,461,5
CDKL1,0,5,0,0,0,3,8,5,0,0,0,0,0,0,0,1996,1670,0,0,0,0,0,1,0
AHCTF1,0,0,534,0,86,0,47,0,0,155,1,1,0,0,0,443,2514,1,442,0,3,5725,779,2
OXTR,0,0,0,0,1,3,1,3,0,0,0,1,0,0,3,35,14392,1234,15,0,0,0,0,346
MAPK14,0,0,0,0,665,2,6,20,10,0,0,0,0,0,0,4400,1,5,623,565,5819,952,289,30
AK3,0,0,634,5,152,0,0,1,0,2,2,0,0,8,0,1141,0,1,94,0,0,2,0,3773
UBA7,30,2,64,0,4,1,0,0,1,1,0,1,41,92,1,3808,19,0,24,3,0,0,2234,6517
KLF9,0,0,0,1,116,2,355,6,0,0,0,1,0,2,3,2775,4,0,23,2776,0,13,566,1763
CMAHP,0,1,0,0,31,0,2,2,0,0,0,3,0,0,1,458,7758,0,0,0,0,2,0,129
CABIN1,0,1,0,0,1,2,100,3,2,0,389,4,0,0,32210,4,9,0,1,0,0,81,0,0
AFAP1L2,0,2,1,0,144,0,0,1,1,0,1,1,0,0,0,70,0,0,0,0,0,0,299,4423
BANK1,0,0,0,1,25,1,0,0,0,0,0,0,0,0,0,225,1,0,0,0,0,0,0,3410
PWP2,0,0,467,561,298,0,0,0,398,1,47,0,20,11248,0,0,0,0,56,0,0,356,0,0
RBM18,0,0,580,0,180,0,0,4,752,177,327,4,0,0,0,0,0,3,1128,27571,3,1,0,0
TNK2,1,1,13,0,32,9,133,0,4,85,0,0,33,4,932,1218,21825,1,16,18,0,0,37,614
SH3YL1,0,32757,0,0,106,3,699,4,1,0,0,0,0,0,3,1,5,7,33,0,2,0,0,0
WBP4,0,0,0,0,88,0,0,158,2,0,0,757,2,0,0,128,0,0,0,0,0,0,0,3
SLC25A45,0,0,3,443,85,0,205,1,0,0,1,0,0,2,1,330,162,0,0,45,0,0,10167,116
EXOC4,4,0,0,0,112,0,1,508,16,0,0,2,1,0,0,120,0,1,179,0,0,0,0,3698
PWWP2A,0,0,0,0,7,3,0,1,160,0,3,0,0,524,6423,3,13,0,35,0,1,0,8,0
TSPAN18,1,2,3,1,9,1,15,6,20,1,14,4,1,0,35,19764,16,64,67,20,4,27,22200,8375
CPB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3662,44285,1,3,1,0,0
STX17,1,0,0,1,1,0,2,229,343,3,0,5,0,0,13,1212,1,566,104,0,0,0,207,3478
S100A14,1354,3,8523,5438,4702,7,2456,416,0,1297,0,0,0,0,3,1,2,0,822,1,280,3,0,0
MON1A,4165,24,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,16,0,0,163,0,0
ADORA2A,1,0,0,0,0,0,1,2,0,226,0,0,0,0,0,1750,56,1,0,7,0,0,933,0
EPG5,0,1,2,126,16,0,0,92,50,0,872,0,160,9910,0,0,1,0,0,0,0,0,3,693
PNMA2,0,0,0,0,0,1901,1,446,0,0,0,0,621,0,0,0,2,0,2,0,0,23,4,0
XIRP2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,7261,11,0,0,0,0,0,0,0
THUMPD1,1,2,445,2,221,3,13,5,0,1199,631,6,422,18439,3,5338,947,1,639,1466,0,0,78,2252
MYO18B,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,986,402
C9orf89,210,2,4,1,0,0,512,5,8,18,0,0,0,0,3,1409,26,2,106,9926,9,0,1004,151
PTTG1IP,4900,26,5070,2484,1104,13,865,271,4821,48,4344,32,1456,5,3,9928,8582,19,8177,80581,16,8848,8,26745
BICD1,0,0,2,224,148,0,0,0,0,0,0,0,0,0,0,1238,0,0,0,0,0,0,364,1
RDX,0,2,0,0,37,0,0,1,0,0,0,2,0,0,0,59,1,1,17,3183,3,0,6776,7
TRPC6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5839,0,0,0,8,0,0,0,0
CRABP1,0,0,870,0,0,0,1321,874,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
DSN1,1498,12,1,346,0,0,0,172,0,2,22,0,235,4805,0,10,2,0,18,0,0,1,1,0
PAOX,0,0,170,37,0,0,1,51,0,0,0,0,0,0,1242,0,0,1,179,0,0,0,0,0
SELPLG,0,0,0,0,103,7167,1,0,0,0,0,0,0,0,1,0,0,0,11,0,3,1,0,0
FADS1,0,1,0,0,340,3,171,6,725,2,1121,2,45,0,6,2080,41090,5,615,1,32,0,0,1899
HJURP,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,1303,0,2,717,3,6,9488,0,182
MOB3C,0,0,0,2,0,0,1,53,0,1,0,0,685,0,0,12930,35,0,92,0,0,0,4,2
ISCA1,233,1,5,861,69,1895,696,2154,1,71,1168,0,1895,0,0,509,1,0,38,7599,3,1,7,34
NINJ2,3653,29,0,0,11,586,1,378,66,0,0,0,135,0,0,1,3,0,0,2,7,0,0,0
TPRKB,0,0,10,347,234,0,0,0,0,2,2166,3,0,3156,0,11,0,2,867,6,2,5387,2,1567
MFSD1,6,3,4,545,486,363,666,284,387,1,0,1,0,1,6,14107,10,6,1420,9431,1,583,1,8206
TCEANC,0,0,3,1,4,0,0,0,1,3,0,0,2,39,50,76,0,5,1,0,0,5,76,4408
VEGFB,0,27682,0,58,0,0,28,13,92,675,27,0,4,0,0,0,1,7687,1840,4,1371,112,0,0
HIST1H2BH,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,800,941,0,0,0,0,1,1,10
MBD6,0,0,1,2,100,0,27,27,119,918,612,1,141,21419,21,2882,0,819,914,488,3,33,2,3352
SLX4,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,1,0,10,1126,0,0,2410,67
WDR44,0,1,0,0,60,0,0,0,0,0,103,0,0,0,0,525,0,0,0,0,0,0,0,1070
FLI1,0,4,0,0,0,2,3,3,0,0,14,1,0,2089,6,691,24,0,0,1636,1,2,5,653
CAMKK1,0,0,1,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,10,0,0,1,126,3918
FRMD3,0,1,0,0,0,0,1,18,0,0,0,1,1,1,1,1738,0,0,0,6109,0,0,1,0
HIST1H2BN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,203,5,1,0,0,0,0,0,1790
HIVEP1,0,1,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,2,0,14809,0,1,0,0
KIN,1,1,0,0,0,4,448,61,164,0,1,0,3,118,28,42,27691,0,179,0,0,2,0,0
VDAC1,29,1,0,66,1317,0,475,8,1102,933,884,64442,812,5,0,0,0,628,2075,2,3,4570,20,2241
ATP7B,0,0,0,0,561,0,1,0,0,0,0,0,0,0,0,1844,0,1,92,148,0,0,0,16
BLZF1,0,0,830,6,12,0,0,1,0,0,0,0,1,1,2,2336,78,0,5,1,0,2,0,3084
CCPG1,0,2,0,1,403,3,7,2,27,0,3,11,102,30,984,9641,8,1,29,9353,0,0,29,75
CHAMP1,0,0,0,0,10,1,1,23,0,7,0,0,0,0,0,3885,0,4,50,0,0,0,0,578
CA1,468,3,75,664,3314,4837,185,2297,1047,7232,4742,10,14034,1,2,5,4,0,0,0,0,1,42,0
RNF208,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,37,11033,0,106,0,26,0,0,0
NOTCH1,0,1,0,136,0,0,7,0,92,0,36,1,1,12091,2,282,1,0,96,0,1090,0,1222,110
ATXN7L3,0,0,0,0,424,0,0,1,685,1,549,5,1,0,0,810,0,0,0,0,0,0,0,504
PSMC5,0,0,682,544,606,7802,18,678,1213,5203,2577,3,1001,0,342,0,0,29312,14792,6,129,1675,5,1
C2orf28,5188,71293,759,475,1235,5,2,60,63,1272,1,2,171,0,3,0,5,90,1110,4,6,0,1,0
ZBTB2,0,1,0,0,0,0,404,3,0,0,0,0,0,0,0,0,1,0,11,7787,1,0,0,233
NFE2L2,1508,14,536,1,841,3,30,3,147,0,21,1,179,0,3,1871,7081,3,57,0,0,0,0,1897
TMEM70,3,0,812,0,24,0,1641,45,2,0,2,3,0,0,0,0,1,5517,638,5,165,342,19368,1148
STK4,1,0,373,0,247,2,0,1,1,1,218,0,7,12,4,2850,6951,7,522,7019,170,2,1,786
RAPGEF2,0,0,5,0,13,0,2,42,11,0,4,0,66,2349,1,862,0,4,73,0,0,0,0,774
C3orf75,0,0,0,0,169,1,0,0,3,0,1951,0,154,0,0,2445,0,1,1580,0,0,0,0,0
SPNS1,0,0,0,1,4,0,1,0,26,278,48,9,0,796,0,259,590,0,64,771,2006,0,19,592
RAB37,3,1,0,0,1,0,1,0,1,2,0,2,0,20,2,80,0,0,1,293,0,0,20760,10
C7orf73,3428,15,2,381,104,42,51,642,353,0,463,2,613,16177,1,597,0,1,121,2,0,2,1,1956
ST7-OT3,895,7,0,0,109,1,4,0,0,0,0,0,0,0,0,1436,0,0,133,0,0,1,0,0
KAT2B,432,5,0,0,0,945,184,244,0,0,0,0,67,0,5,0,0,0,11,0,1,1,0,0
PPM1A,1072,6,519,1,400,5376,180,1355,180,34,95,18,972,322,5,1176,70,2,253,11634,2,0,482,3449
ANK1,0,0,1,1,373,415,0,301,0,1,178,0,507,51,0,310,2,0,0,13,0,0,2,1376
KCNE4,2,0,0,0,0,1,392,2,0,0,0,0,0,0,1715,0,0,0,0,0,0,0,0,0
N4BP2L2,0,1,0,1,59,0,9,0,276,0,134,2,0,1,217,3744,1,0,40,443,0,3,2463,74
ANKS1A,0,0,0,0,171,0,4,0,12,2,0,0,0,1,0,309,0,18,759,0,36,0,192,4337
CTSA,1971,20,6,1172,254,3,454,95,3707,9,2804,20,814,2,26,15333,4616,22,8801,9492,12695,2,126,12535
HOXC10,0,0,12,1026,230,0,426,3,0,71,0,3569,9,0,0,0,0,0,0,0,0,0,0,0
HOMEZ,0,0,0,110,32,0,0,0,0,1,237,1,215,28700,0,1,1,0,220,0,0,0,0,0
ADORA3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3732,3
ZNF547,0,0,0,0,5,0,0,0,0,0,4,0,0,2520,0,100,0,3,2,0,0,0,0,0
SLC4A1,17191,122,9,1337,1141,7681,260,11543,1336,2466,2169,12,6734,12,3,4,6,0,1,1,76,0,25,4
SLC25A33,0,0,279,8,1,0,2,0,97,0,0,0,0,0,0,13,5808,0,4,0,0,0,0,221
GLUL,4941,39,795,575,4153,907,1292,1829,1438,436,460,8,7835,0,10,5904,13867,62,492,1227,3,3,71,2301
FHL2,0,1,4886,3489,53,2,4734,565,519,14,1670,2,842,1,1,5819,0,334,351,21,10109,0,14166,3940
NID2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4341
ZNF654,0,0,0,0,0,1,9,2,106,1,0,0,0,0,46,400,2,0,0,904,0,0,1,1370
HUWE1,0,2,944,155,798,0,1,3,1236,1,1,12,1266,0,24236,8,8,5,1730,47,18513,2,7,0
ZNF76,95,0,18,0,103,0,0,0,31,0,21,0,0,7280,0,0,0,0,231,0,1,1,0,0
VAMP2,10,1,0,2,44,200,15,2,1,1,574,2,1,15700,1,897,1,2,228,0,1,0,171,1747
SMC3,13,0,2,0,89,1,213,0,1307,0,0,6,0,0,0,1105,0,3033,7,0,0,0,1,3382
STK40,1,0,14,359,81,0,244,130,0,0,280,0,28,754,2,2202,3,3,576,694,0,15,3720,1214
PAFAH1B1,0,2,559,522,538,0,1229,54,3,52,3079,1,0,0,0,440,12,0,55,20171,0,258,1,4033
DENND4B,0,783,0,0,220,1,0,15,0,22,0,0,0,417,0,0,0,1,570,0,0,0,0,0
FAR1,0,2,1,0,80,0,248,0,323,28,16,24552,311,6808,1,0,2,3,83,1,1,0,9,1
BAG2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7413,0,0,0,0
DDI2,0,0,0,0,0,0,1,188,0,0,0,0,0,0,0,830,0,0,0,0,0,0,0,0
TRIP10,0,1,8,1,31,0,1,0,0,0,18,0,0,2153,0,1842,206,0,6,3,0,0,0,15
MOCOS,2362,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
VMP1,263,2,155,34,872,0,43,331,7888,11300,4499,36,8388,2,0,3149,3,9087,5522,3076,476,8495,7620,4939
MAK16,0,0,537,0,419,0,0,0,41,0,0,0,162,0,0,0,0,338,447,17402,3,103,0,0
SNORA64,0,0,0,0,5,0,0,0,10,0,8,0,0,3347,0,0,0,1615,0,0,0,0,0,0
ATG4A,0,0,641,412,1,0,0,352,0,72,0,2,0,0,0,0,0,6539,298,1,1,0,0,1348
SYT13,0,0,0,0,0,0,0,0,54,300,935,2597,35,0,0,2,0,0,1,0,0,0,0,0
WFDC2,0,0,0,0,0,0,800,367,3615,1011,541,13,1087,0,0,0,0,0,0,0,0,0,3,0
EFNB1,0,0,10,0,0,1,0,0,46,0,0,1,0,0,0,2785,3,0,6,91,0,0,161,632
DENND4A,1,6,0,0,174,6,100,17,85,0,1,2,2393,1,0,5590,3,1,174,867,2,2,17568,455
SPAG7,10,14650,277,0,130,1,85,1,0,1146,0,0,1,0,0,0,0,1,277,0,0,36,0,0
CRYM,0,0,2,3,2,0,6,1,0,0,0,0,0,4,0,1611,1,0,0,1,0,0,2,5511
HBG2,4,6,0,3,2,35394,24,21951,1,2,5,7,10901,25,11,204,6,2,174,6,42,3,38,1
PRR5L,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4192
ZNF155,0,0,1,0,0,0,0,0,0,1,10,0,0,4017,0,0,0,0,0,0,0,0,0,0
EMC3,6658,36,3,780,121,55,658,1105,1758,0,8,4,376,3231,9,767,11,3,1746,0,0,23,2,3640
KCTD9,0,0,0,0,147,0,107,1,0,0,0,0,140,0,0,753,0,0,29,0,0,5,0,2420
SUZ12,0,0,0,2,370,2,1,0,45,0,0,0,0,0,0,26,14900,2179,36,0,4,1,0,0
TRIP11,0,2,6,410,350,0,414,1,137,1,0,0,0,0,1,5590,2909,104,98,13344,12,134,1,0
GPX1,609,2,3,394,97,6861,1223,4995,869,240,946,7,4182,4,576,9210,507,226,2197,14842,947,18,4433,5108
ITPKB,0,0,1,503,60,0,4,11,0,0,0,0,4,1,0,192,18,0,2,0,0,0,13305,9
PURB,0,1,1016,34,537,0,104,0,9,3,1256,6,398,29020,0,4,1,4,406,21715,1,0,4,4
C8orf73,0,0,0,0,2,0,11,338,0,0,0,0,0,0,0,0,0,18541,4600,0,67,58,0,0
CAPZA2,2,6,0,0,91,4,2,4,0,319,1,1,4,0,1,291,13756,1,153,2,0,0,0,6961
GAB2,0,0,439,0,0,3,794,44,648,0,1,2,0,0,1,1,1,0,1,8206,0,0,1,2267
SNX24,2,0,0,0,0,2,0,2,172,461,2366,3,1,0,2,41,21705,0,0,0,0,0,0,0
CCDC114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,526
PLA2G12A,1,5,701,0,473,9,3,407,101,394,73,2,4,0,5,2075,27573,0,384,1953,119,0,1466,427
TSPAN5,1987,21,0,1,343,11,2,2515,828,0,109,2,1368,0,2,0,4,0,0,0,0,0,6,810
TNFAIP1,0,0,1053,1632,282,0,1220,4,145,0,33,0,43,0,0,0,0,1,11,9885,0,0,0,0
SYNM,0,0,0,0,0,1,38,1,0,0,0,0,0,0,0,318,0,12779,62,2,1,1,3272,4
AFAP1-AS1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7218,0,0,0,0
SPEN,0,0,0,0,0,0,0,0,73,0,3,2,0,478,1,0,1,0,24,0,0,1,6716,8
FAM63B,493,9,0,1,76,1,2,0,883,0,0,1,1,0,56,2333,599,0,93,3,3,5509,200,0
CXCL3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,178,0,0,0,0,0,0,1300,44
SHPRH,0,0,656,0,0,0,0,0,0,0,0,1204,5,0,0,0,0,0,0,0,0,0,1,0
MAB21L3,0,0,1,0,39,0,0,0,37,44,162,0,22,1148,205,242,1215,6,52,440,2,18,309,109
CALML4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,16494,0,1,0,1
AKIRIN2,2,0,159,3,8,1,1192,642,9,0,0,1,92,0,0,2216,2,10,2,23601,3,4535,0,9
PIGB,0,0,8,0,95,1,2,0,0,1,2,5,1,0,0,957,0,0,13,6260,0,0,0,0
BAZ1A,0,0,110,54,837,94,274,1,7,1,0,0,101,7,2,164,7295,33101,2490,26110,5,1790,2,237
ARGLU1,0,4,373,0,83,1,452,7,16,2,7,0,1,3040,0,1378,0,0,29,388,3,0,106,1044
SLC22A16,0,0,0,0,0,0,0,0,0,0,9,0,0,2918,0,0,0,0,0,0,0,0,0,0
LATS2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4885,5
NAPB,0,0,0,0,22,0,0,62,0,93,0,0,0,0,0,0,0,86,0,0,0,0,2,5311
IGF1R,1,2,0,84,0,3,7,0,476,610,3,2,125,2,4,237,8268,1,57,11559,1,0,2,6746
SERPINA1,2463,14,0,0,296,16,5182,1244,0,2159,0,0,1953,0,2,0,3,1,327,1,2,2,5,0
TGIF2,0,0,0,0,67,0,0,0,1,0,0,0,119,0,0,1552,0,0,0,0,0,0,0,118
RNPS1,111,1,0,1,747,424,9,101,0,0,0,1,0,0,0,4,0,5115,0,0,0,0,0,360
TBC1D25,0,0,43,6,140,0,224,7,0,0,1064,0,276,0,2,0,0,0,6,9502,0,5,1,3016
PAQR8,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,3342,0,0,0,1,0,0,0,0
BPTF,0,0,367,638,822,0,167,0,1362,2792,2165,11778,1096,15,0,0,1,20714,4577,159,2747,11106,12,18
C17orf62,98,2,2,263,87,1,29,0,2,0,0,0,0,0,3,289,4647,23717,9596,5,9,4635,0,0
PSPC1,0,0,8,723,146,0,4,0,0,1047,0,0,0,0,0,1419,0,0,0,0,0,0,0,0
DOLPP1,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2681
FAM136A,1034,7,779,0,638,0,0,0,2052,0,2,9,2,0,0,0,0,1,761,0,1,0,0,0
KLHL12,3193,14,0,60,356,0,0,6,1900,113,0,3438,9,0,1,556,1,2,336,17,0,0,0,1
LUC7L3,7,0,0,5,800,2,3,12,1508,1510,440,6,70,10386,0,4872,5,5,775,1496,1226,5,2,3784
PPP1R3B,1,1,6,1330,173,6,0,0,1,3,0,0,20,0,3,629,0,3,22,20720,1,1,0,335
ASAP2,0,0,0,0,149,0,509,6,1,18,0,3,246,9,0,4258,0,0,43,98,1,3,5597,38
ATF7IP2,0,0,0,0,97,0,0,0,1,0,11,0,0,3416,0,0,1,1,0,1,4,3483,0,0
UBE2Q2P1,0,0,0,0,0,1,0,0,0,2,0,0,582,2,0,1,0,1,0,24927,1,13,2,87
TST,0,0,159,0,260,0,769,443,669,59,1863,4,1,1,0,1187,0,1,199,1,1,0,7853,4
PNP,875,5,2334,1723,1237,31,450,6721,1578,2847,11891,16,15890,1,0,41,2,2,993,19179,28,1,75,2469
RICTOR,0,0,0,0,21,0,846,1,3,1,2,0,0,1414,26,327,0,0,15,1,0,0,0,169
STK16,24,0,0,2,0,37,14,1,0,9,0,0,14,1,0,470,1191,0,6,798,0,0,342,163
RHBDD2,3,0,468,2,9,0,1804,49,383,299,1234,3,1,16186,0,0,0,2578,1720,0,0,0,0,1
SLMAP,5,2,366,187,258,3,289,230,4,6,1,0,566,0,1,1855,10967,0,11,3792,0,0,4,873
CASP4,0,0,5,975,11,144,3,1,0,0,1,0,0,0,0,473,0,1,246,0,0,0,0,797
CCNY,0,0,1,329,99,0,21,3,25,0,0,0,0,0,0,2,0,1,262,6999,1,0,0,1213
NBPF9,0,0,3,94,2,1,0,0,0,0,0,0,0,1,7333,1,9,1,2,0,4,0,0,0
PLAT,3213,12,0,0,0,0,5,0,0,0,0,0,263,0,0,0,0,0,42,0,0,0,0,0
LIN54,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,472,2,1,18,0,0,0,2595,2
UPF2,0,0,0,0,1,0,0,0,0,107,0,0,0,0,153,59,7,0,5,1,0,0,617,107
CLSTN1,0,0,1375,531,159,0,244,0,450,29,0,0,1209,0,0,0,0,28391,3546,45,19866,2783,2,0
IKZF5,0,3,0,0,140,1,338,269,0,0,0,0,68,0,0,1,0,7869,4,64,0,0,0,3576
KIAA1524,0,1166,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RB1CC1,0,0,1,1,52,0,1405,128,6,110,152,2,0,1,0,26,0,0,43,8049,2,6,0,4194
RALGPS1,0,0,0,0,46,0,0,0,8,2,0,7917,22,0,0,0,17,0,26,0,0,0,0,1
ZDHHC17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2424
FBXL20,0,0,0,0,8,0,1,0,4,1,2,3,0,142,1,30,1,12,3,0,0,2,1693,2726
USP47,42,1,58,122,560,4,718,5,917,1,19,3,1607,0,8,3973,44145,4685,42,19434,2,2,997,1
FN3KRP,84,0,200,0,105,0,17,214,0,0,0,0,0,0,0,0,0,11353,8186,10,440,7976,1,0
TIAF1,0,0,0,0,17,0,0,0,252,0,0,4,0,0,0,3676,0,2,531,0,0,0,0,0
WHSC1,0,0,25,204,377,0,0,0,9,972,206,2,438,16737,2,521,0,1,75,0,0,11,7,896
KLHL35,1960,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RRN3,0,0,1129,0,445,0,2,0,436,1,1,18855,29,1,0,0,0,15,64,1,3,3324,3,2
NUPR1,2093,11,208,1786,135,0,5595,38,335,2569,0,0,49,0,0,0,0,0,666,0,0,259,0,0
NAB1,0,0,0,0,1,0,23,0,33,1,0,1,0,0,0,41,1,0,0,17606,0,0,7,127
DTL,1847,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,430,0,0,0,0,0
GP9,0,0,0,41,0,0,0,0,0,0,0,0,0,32,374,73,65,0,0,12,0,0,0,0
CLIC6,2265,14,407,662,17,0,1703,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
KCNRG,0,0,1,38,1,0,1,0,0,1,51,1,1,15379,0,0,0,0,2,0,0,1,1,0
GPD2,0,2,831,34,9,0,0,0,860,1148,0,3,0,0,0,0,0,13537,949,1,2,3492,2318,0
NCKAP1,1,9,821,1,309,5,1295,409,106,0,0,0,76,0,48,2909,15031,236,107,350,6,5,151,1218
NT5C,0,1,1,7,20,2,81,97,84,0,6,0,4,86,2,909,36576,2,166,0,0,0,0,0
TIMP1,480,5,2393,80,1552,5,656,21,1851,2,3,11,28,0,3,1913,2,9,2023,14670,0,0,3,12189
UBASH3B,0,0,0,0,0,0,1,2,0,0,1,0,103,0,1,876,2,1,0,0,0,0,0,1353
ZFAND5,5724,33,447,1656,513,206,2109,883,2197,258,2140,8,2527,10,5,10293,3,39,621,8958,1,1,1685,14908
SERPINA3,420,9,9730,10428,6197,2,7134,36,10415,0,1377,38,4,0,3,1,3,1,95,0,0,0,3,0
YAF2,0,0,0,1,66,1,0,108,0,0,170,1,1,0,4,86,21496,1,3,0,1,74,0,86
DAD1,4,0,1887,742,194,0,47,1345,957,553,1202,14,1780,48568,0,0,1,9,2263,0,10,2,10,2
EHD1,0,0,359,240,35,0,1,1,45,34,0,0,0,0,1,979,7159,0,39,67,0,0,17,839
XPO7,0,0,0,57,68,27,0,629,0,0,10,0,20,1,0,1579,4,0,40,333,0,0,2,1745
DNAJB6,11,2,3,195,490,1,536,308,42,441,1204,13,576,2639,0,11372,1,70,182,28360,0,1783,40,10253
SLC35A4,0,0,1359,1455,194,0,1370,543,875,1147,0,5,0,0,0,0,0,8055,1919,2,0,0,1,0
CMTM7,0,0,0,0,1,261,12,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHLDA1,0,0,0,0,0,0,0,3,0,1,27,2,4,8562,0,0,0,0,3,0,1,1,0,0
TREML1,54,1,3,813,178,0,1,1,0,0,2,0,0,0,1,1909,1,0,103,296,33,0,10617,11
