,Patient#1_CL#1,Patient#1_SC#1,Patient#2_SC#1,Patient#3_SC#1,Patient#4_SC#1,Patient#5_SC#1,Patient#2_CL#1,Patient#5_SC#2,Patient#6_CL#1,Patient#6_SC#1,Patient#7_CL#1,Patient#7_SC#2,Patient#8_SC#1,Patient#9_CL#1,Patient#9_SC#1,Patient#7_SC#1,Patient#5_CL#1,Patient#4_SC#1,Patient#4_CL#3,Patient#4_CL#1,Patient#4_CL#2,Patient#3_CL#1,Patient#10_SC#1,Patient#10_CL#1,Patient#10_CL#2,Patient#8_CL#1,Patient#8_CL#2,Patient#8_SC#2,Patient#8_SC#3
eg:1366:chr17:m,24,1,0,4,3264,2,0,0,0,0,0,0,0,4,1,1,1,567,1056,507,1,1703,303,694,161,9465,1127,8,0
eg:136647:chr7:m,0,0,0,0,0,0,0,0,0,0,0,239,1,0,979,0,0,1,365,390,1,0,111,2,0,0,123,0,0
eg:1368:chr12:m,0,0,0,0,0,2,2,0,0,2,2,2,3,1,13,18,0,2,0,1,0,0,0,0,0,0,0,0,9
eg:136853:chr7:m,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:136895:chr7:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1369:chr10:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
eg:136991:chr7:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1370:chr3:m,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137075:chr8:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0,0
eg:1371:chr3:m,16,0,0,75,1,0,3,0,1,0,0,0,0,0,586,42,1,24,0,0,0,1,113,0,1,0,0,0,0
eg:137209:chr8:p,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0
eg:1373:chr2:p,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137362:chr8:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137392:chr8:p,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,194,0,0,7,0,0,0,1,0,0
eg:1374:chr11:m,0,0,0,1,5,0,2,2,0,0,0,95,10,0,1273,60,2,14,216,1508,4,542,522,4,63,2,1457,4615,1
eg:137492:chr8:p,0,0,0,0,0,0,0,1,6,1,1,0,0,0,419,0,0,0,0,108,0,1,113,141,139,0,52,0,0
eg:1375:chr22:m,1,0,0,1,4,0,0,0,2,0,1,0,0,0,0,1,1,3,0,1017,8,82,12,0,0,0,44,0,0
eg:1376:chr1:p,0,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,791,0,0,10,265,1,0,27,13,800,0,2
eg:137682:chr8:p,0,0,0,362,0,0,1,2,2,0,0,0,0,0,0,0,1,162,0,142,0,0,9,1,58,27,128,0,0
eg:137695:chr8:m,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,0,0,0,0,0,100,32,0,67
eg:137735:chr8:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137797:chr8:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1378:chr1:p,0,1,2,2,0,0,0,3,0,2,1,1,0,0,1,77,0,9,0,0,0,0,1,0,4,0,1,0,1
eg:137814:chr8:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137835:chr8:m,0,1,0,0,0,0,0,0,2,0,1,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137868:chr8:m,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137872:chr8:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
eg:137886:chr8:p,18,0,0,1,3,0,0,1,0,0,0,0,1,1,0,0,0,271,0,464,0,12,137,405,69,6,923,10,4983
eg:1379:chr1:p,62,0,0,279,0,0,0,0,0,0,0,0,0,2,0,193,0,572,0,0,0,1,0,2,255,0,0,0,0
eg:137902:chr8:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137964:chr8:p,1,0,0,17,1,0,0,0,1,0,0,0,167,0,0,112,10,0,860,109,460,1937,139,17,238,97,2056,738,5703
eg:137970:chr8:p,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:137994:chr8:p,0,1,2,1,0,5,0,0,0,0,0,1,0,3,0,1,0,734,2,1,0,14,209,0,0,0,0,84,0
eg:1380:chr1:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138009:chr8:m,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138046:chr8:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138050:chr8:p,0,2,4,31,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,1155,59,821,154,482,28,0,31,1,0
eg:138065:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1381:chr15:p,0,0,0,874,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1321,0,870,0,0,0,0,0
eg:138151:chr9:m,0,0,321,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,41,0,23,0,0,0,135,1,0,0
eg:138162:chr9:m,919,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,1,0,0,0,6,0,0
eg:138199:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
eg:1382:chr1:m,0,0,0,0,9,0,1,0,0,0,0,0,0,1,144,0,1,218,1004,1516,475,12,804,1201,659,35,7,0,0
eg:138240:chr9:m,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138241:chr9:p,0,0,0,0,2,3,2,2,0,19,3,0,0,3,1,2,0,515,0,325,0,1,114,56,0,22,3,0,0
eg:138255:chr9:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138307:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
eg:138311:chr9:p,1,2,0,12,3,690,1,0,1,1,53,25476,2130,272,3303,834,0,0,33,277,179,95,1,2,4,243,454,90,3
eg:1384:chr9:m,1125,8,1,0,0,4,0,0,9,3,1,8,2,13,0,98,0,2,1,0,0,9,80,134,342,303,2968,1,2
eg:138428:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,21,49,0,119,2,0
eg:138429:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,236,0,34,0,0,3,0,0
eg:138474:chr9:m,0,0,0,0,0,0,0,1,3,0,0,0,0,35,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1385:chr2:p,0,0,0,1,4,4,4,2,0,0,0,2,0,1,13,8,1,13,1,0,0,0,60,544,0,5,56,1,0
eg:1386:chr2:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138639:chr9:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,107,0,0
eg:138649:chr9:p,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,115,5,5,19,2,1,2,80,47,39,44
eg:1387:chr16:m,19,0,1,302,2,0,1,3,2,1,1,0,0,2,0,389,6,683,57,94,0,1888,180,681,5,5,845,0,1
eg:138715:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138716:chr9:m,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,141,36,0,0,4,0,40
eg:138724:chr9:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138799:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1388:chr6:m,0,1,0,3,0,49,0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,1167,114,0,0,0,4,0,0
eg:1388:chr6_cox_hap2:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1388:chr6_dbb_hap3:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1388:chr6_mcf_hap5:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138802:chr9:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138803:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138804:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138805:chr9:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138881:chr9:m,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138882:chr9:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:138883:chr9:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1389:chr12:p,1,0,0,2,1,1,2,3,0,0,2,2,0,2,0,1,2,177,5,510,780,36,66,6,772,1,1,0,1
eg:1390:chr10:p,3,0,3,3,3,0,0,1,2,1,1,0,0,0,0,0,0,1,0,351,47,16,0,0,62,0,0,1,0
eg:139065:chrX:m,18,997,981,4,1070,53,2209,1467,1158,1655,1349,196,261,80,10,87,1567,8,3,3,7,7,0,8,4,43,14,128,68
eg:139067:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139081:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139105:chrX:m,0,4,3,4,0,0,0,1,7,6,6,118,0,23,1044,79,0,0,0,0,0,2,0,0,0,1,0,0,0
eg:139135:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139170:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139189:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1392:chr8:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139212:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139221:chrX:p,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
eg:139231:chrX:p,0,0,0,1,1,1,2,1,0,0,0,0,3,4,3972,0,1,132,0,0,0,38,133,0,0,1,0,4,1
eg:139285:chrX:m,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1393:chr5:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139322:chrX:p,0,2,0,0,0,32,0,0,0,0,0,1,0,0,0,0,0,6,0,0,62,0,2,0,103,2717,19,0,0
eg:139324:chrX:m,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,25,0,0,0,2,235,1,86,0,0
eg:139341:chrX:m,4,2,1,0,0,0,0,0,1,2,2,2,0,0,0,79,1,0,0,17,0,1,148,0,0,0,5,0,0
eg:139378:chrX:p,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1394:chr17:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1394:chr17_ctg5_hap1:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139411:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eg:139420:chrX:m,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139422:chrX:p,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0
eg:139425:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1395:chr7:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0
eg:139538:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139562:chrX:p,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139596:chrX:p,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,29,0,344,0,0,13,0,0,0,10,0,0
eg:139599:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1396:chr14:p,89,0,0,9,10,0,1,0,3,0,1,0,2,3,0,0,1,49,466,1280,5476,1652,151,68,314,2362,2726,26,584
eg:139604:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139628:chrX:p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1397:chr14:p,328,0,0,123,5,0,0,2,0,0,0,0,0,0,0,0,0,30,594,1038,809,182,72,31,103,389,79,0,0
eg:139716:chrX:m,0,1,0,0,0,1,1,0,1,0,3,0,3482,0,1331,1,0,0,0,0,0,0,0,0,0,0,2,0,0
eg:139728:chrX:m,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0
eg:139735:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139741:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139760:chrX:m,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139793:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1398:chr17:m,0,1,0,7,0,5,1,1,0,6,0,1,0,1,410,1115,1,223,0,1,1,1858,301,38,60,139,216,0,38
eg:139804:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:139818:chrX:p,0,0,1,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,0,0,0,40,0,0,1,1,0,0
eg:139886:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
eg:1399:chr22:p,1,0,5,694,1,3,11,5,3,2,2,0,1,15756,784,12112,0,313,1,5,1,18,119,0,0,5189,51,0,0
eg:14:chr2:m,0,0,0,18,0,0,1,0,0,0,0,0,1,1,0,0,0,9,35,17,71,41,22,0,1,53,61,0,120
eg:140:chr1:m,0,0,0,0,0,0,0,2,0,0,0,0,0,3732,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1400:chr4:m,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140032:chrY:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1401:chr1:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140258:chr21:p,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140290:chr21:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1404:chr5:m,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140432:chr13:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
eg:140453:chr7:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140456:chrX:m,0,0,0,0,0,0,1,0,1,1,1,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
eg:140458:chr4:m,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140459:chr9:m,0,0,0,307,10,0,0,2,0,0,10,1,0,1,1085,0,0,1,424,247,2,65,89,2,67,9,645,1,52
eg:140460:chr15:p,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,12,0,0
eg:140461:chr12:m,1,0,6,6,3,1,1,1,4,3,76,54321,0,0,1579,2034,1,0,1,133,247,4,186,0,0,2,352,0,1
eg:140462:chrX:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140464:chr3:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140465:chr12:p,743,5,1,4,3,0,0,1,2,1,0,1,1,1,1,0,1,54,8,601,1902,0,8,4,1309,6,464,2,0
eg:140467:chr19:p,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,3,7,5,1,0,0,0,10,0,0
eg:140469:chr2:p,0,0,0,0,0,8,0,4,0,0,23,5,1,2,4,2,0,0,0,0,0,1,1,0,2,2,9,0,0
eg:140545:chr7:p,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
eg:140564:chr22:p,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,5,0,0,0,0,3,8,0,0
eg:140576:chr1:m,39,0,0,5,0,0,1,1,1,0,0,1,1,0,0,0,2,0,2,0,2611,2698,2007,18747,13651,2,1094,20,2
eg:140578:chr21:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
eg:140596:chr8:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140596:chr8:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140597:chrX:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
eg:1406:chr19:p,0,0,1,0,0,44,1,0,0,0,0,5,1,1,1,4,0,0,0,1,2,1,0,0,1,0,0,0,0
eg:140606:chr22:m,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,122,0,423,89,77,0,1,15,0,0
eg:140609:chr1:p,0,0,0,43,0,0,1,8,0,0,0,0,0,8,113,22,1,0,2,1,64,0,12,0,0,0,0,0,2
eg:140612:chr19:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0
eg:140625:chr1:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140628:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140679:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140680:chr20:m,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,553,1,687,0,92,0,0,7,0,0
eg:140683:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140685:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,143,30,141,0,0,0,149,52,28,0
eg:140686:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eg:140687:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140688:chr20:m,0,1,0,29,9,1,12,6,4,2,0,1,1853,9646,4275,3195,1,1,4180,1441,1,1,7,649,1,0,0,0,0
eg:140689:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140690:chr20:m,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,6,0,3,0,1,0,0,6,0,1,0,1,3,0
eg:140691:chr15:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
eg:140699:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:1407:chr12:m,1,1,2,0,0,0,0,0,1,3,0,1,1,0,0,1,3,0,0,0,0,418,163,3,466,30,23,0,0
eg:140700:chr20:m,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,89,15,0,0,8,4,317,0,0
eg:140701:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eg:140706:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140707:chr12:p,0,2,2,2,4,0,0,0,16,0,2,1,0,0,0,0,0,0,0,0,0,469,0,0,0,0,0,0,0
eg:140710:chr20:m,1308,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,308,156,7,51,4,1,60,0,250,0,4
eg:140711:chr20:p,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0
eg:140730:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140732:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140733:chr20:p,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,9,1,0,0,0,3,0,2
eg:140735:chr17:p,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,535,0,0,0,0,0,0,0
eg:140738:chr2:p,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
eg:140739:chr2:p,434,6,15,649,7,6449,10,12,3,2,18,2,0,377,4152,7037,1,281,104,537,2436,2027,327,113,0,1,824,2,0
eg:140766:chr10:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140767:chr6:p,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140771:chr17:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140775:chr17:p,0,0,0,7,0,13,1,0,1,0,0,7,0,0,0,32,3,0,1377,105,0,6,53,0,0,1,108,0,1664
eg:1408:chr11:p,0,0,1,0,3,65,1,1,0,0,0,2360,0,2,486,4,0,494,0,0,37,14,66,0,0,3,306,0,0
eg:140801:chr14:m,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,6,2,9,0,9,9,9,7
eg:140803:chr9:m,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
eg:140807:chr12:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
eg:140809:chr20:m,1,0,0,2,2,0,0,0,0,0,0,0,2669,2,0,0,0,372,0,58,310,0,49,474,9,1,172,1,0
eg:140823:chr20:p,181,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,6,32,71,23,59,36,0,258,0,0
eg:140825:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541,38,0,0,0,0,0,0,0,1,0,7,0,0
eg:140828:chr20:m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140831:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140832:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140836:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140838:chr20:m,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0,4,0,4
eg:140850:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140856:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eg:140862:chr20:p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
