	BRx-129-2--9-29	BRx-139-1	BRx-170-1	BRx-170-2	BRx-172-1--9-30	BRx-129_2_111814	BRx-136_1_123014	BRx-136_2_123014	BRx-146-1--4-16-15	BRx-16_1_102214	BRx-16_1_120314	BRx-16_2_102214	BRx-16_2_120314	BRx-16_3_120314	BRx-172_1_111114	BRx-172_1_120114	BRx-172-1--4-16-15	BRx-172_2_111114	BRx-172-5--11-11-14	BRx-183_1_031015	BRx-183_2_031015	BRx-183-3--3-10-15	BRx-183_4_031015	BRx-183_5_031015	BRx-183_6_031015	BRx-183-7--3-10-15	BRx-111-1--10-08-15	BRx-111-1--10-19-15	BRx-111-2--10-08-15	BRx-111-3--10-08-15	BRx-131-1--09-15-15	BRx-132-1--06-09-15	BRx-146-1--08-06-15	BRx-16-3--09-09-15	BRx-16-4--09-09-15	BRx-172-1--02-01-15	BRx-172-1--06-25-15	BRx-172-1-08-04-15	BRx-172-1--08-18-15	BRx-172-1--08-25-15	BRx-172-1--09-09-15	BRx-172-2--07-07-15	BRx-172-2--08-25-15	BRx-172-3--07-07-15	BRx-180-1--06-12-15	BRx-180-1--07-02-15	BRx-213-2--08-26-15	BRx-213-3--08-26-15	BRx-245-2--09-04-15	BRx-42-1--10-20	BRx-42-1--9-14	BRx-42-1--9-22	BRx-42-1--9-29	BRx-42-2--9-14	BRx-42-2--9-29	BRx-42-3--9-29	BRx-82-1--9-15	BRx-82-1--9-29	BRx-82-2--9-15	BRx-82-2--9-29	BRx-82-3--9-15	BRx-42_1_110314	BRx-42_2_110314	BRx-82_1_012015	BRx-82_1_030915	BRx-82-1--11-13-14	BRx-82-1--1-12-15	BRx-82_2_030915	BRx-82-2--11-13-14	BRx-82_3_030915	BRx-82_5_030915	BRx-82_6_030915	BRx-82_7_030915	BRx-82-8--3-9-15
FAM109A	0	0	15	0	0	0	0	12	0	114	0	0	0	50	0	3	0	0	0	0	0	72	12	0	0	18	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	15	0	0	2	0	0	71	0	13	0	0	0	0	0	0	0	2	85	62	0	7	0
FAM109B	0	0	0	0	0	0	0	13	0	83	0	0	0	0	0	0	0	5	4	0	0	0	0	0	126	29	0	0	0	0	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	19	0	0	69	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0
FAM110A	0	1	251	559	0	1	0	151	0	2289	0	385	0	96	407	1274	305	567	886	1	69	1	9	0	34	108	0	0	0	53	17	45	0	264	1	612	0	0	65	219	598	147	28	186	1	0	174	54	2	0	0	17	21	4	32	66	101	25	1736	89	56	1	281	158	13	25	417	42	2	0	227	1	87	3
FAM110B	0	0	28	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	88	0	2	3	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	10	46	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
FAM110C	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	53	48	13	0	34	139	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	24	192	38	3	63	0	30	0	0	0	0	0	0	33	58	0	0	0	32	0	0	0	34
FAM110D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM111A	0	0	0	3	0	0	0	715	0	16	12	0	0	0	0	0	0	1	106	0	285	256	510	118	3530	497	1	0	0	0	9	32	1	5	1	0	86	243	24	2	5	1	7	0	451	0	1	6	2	0	11	0	1	109	101	9	0	447	0	0	18	44	0	0	0	867	0	20	58	93	3	1523	1	2
FAM111B	0	0	0	0	0	0	0	256	0	2	0	50	0	0	0	0	0	0	0	0	0	1	438	0	5244	677	0	0	0	0	11	243	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	1	0	0	555	1	0	0	0	0	0	0	309	0	0	0	0	0	870	0	0
FAM113A	0	0	0	0	0	0	0	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0	33	1	1	0	0	0	0	48	0	0	0	0	0	1	0	0	0	0	0	0	1	68	4	14	19	0	16	0	0	0	0	0	0	4	2	0	3	10	0	134	37	33	90
FAM113B	0	0	1	18	1	0	0	0	0	85	0	37	0	97	0	155	42	23	181	0	13	0	0	1	0	1	0	0	0	0	0	0	0	0	1	309	22	0	198	42	0	0	0	36	310	0	1	0	0	0	0	0	0	0	0	3	24	62	81	0	17	0	0	39	0	0	0	0	0	0	0	0	0	0
FAM114A1	0	0	0	4	0	2	0	177	0	5	1	1	0	0	2	2	11	53	1	0	162	158	126	2	552	555	3	0	0	0	27	549	3	6	3	2	2	5	2	1	1	2	6	2	127	2	122	34	53	32	13	45	173	220	357	192	0	129	31	0	0	3	0	0	197	160	0	581	51	30	307	224	151	85
FAM114A2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	223	0	19	0	176	94	0	1	0	0	3	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	21	0	0	50	0	0	8	0	0	3	47	0	0	0	0	0	32	186	168	99
FAM115A	76	0	0	0	0	1	0	18	0	0	0	0	0	0	0	0	0	0	0	33	146	68	554	8	194	403	0	0	0	0	1	41	0	0	0	0	0	0	0	0	1	0	0	0	2	0	2	1	1	0	0	43	51	64	41	117	0	299	0	0	0	0	0	0	23	296	331	121	50	113	241	659	106	40
FAM115C	0	1	1	5	0	2	0	8	0	5	15	2	0	1	0	13	0	14	5	1	341	16	90	0	13	17	1	5	4	1	103	6	9	51	8	0	1	90	11	3	16	0	154	0	937	18	35	57	11	0	21	0	5	2	1	17	0	4	9	0	0	5	0	1	0	4	1	6	1	56	31	18	15	3
FAM116A	0	1	0	2	0	6	0	49	27	15	12	230	0	0	2	5	0	13	4	0	6	7	5	0	5	140	0	0	0	2	36	3	7	18	5	2	2	9	6	18	20	2	38	0	204	1	12	18	3	0	6	1	5	25	41	6	0	63	91	0	19	3	0	0	2	219	0	2	9	1	48	28	40	3
FAM116B	0	0	0	0	0	0	0	0	0	32	0	0	0	0	18	16	0	0	0	0	16	0	79	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	14	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
FAM117A	0	0	1	0	0	2	0	0	175	25	0	58	0	42	0	0	0	18	28	48	0	0	1	32	116	0	2	0	0	16	0	56	111	2	0	0	0	0	0	0	150	0	0	0	0	0	45	0	3	0	11	19	1	0	21	21	24	0	4	0	11	7	7	338	0	0	0	30	0	1	250	0	0	0
FAM117B	0	0	0	1	0	1	0	25	1	5	16	0	0	0	1	2	0	2	8	0	6	18	22	0	98	171	6	0	0	16	28	1	2	11	2	0	1	22	6	0	6	0	17	0	211	3	15	24	7	0	151	0	60	28	5	29	0	0	3	2	1	1	0	1	0	1	0	15	5	1	30	33	1	1
FAM118A	0	1	0	0	0	0	69	115	5	5	2	2	0	1	0	0	0	20	1	0	6	4	1	0	25	96	2	0	0	28	11	0	1	8	3	1	2	29	7	5	419	0	47	0	101	1	6	3	15	0	76	48	2	26	1	12	0	2	4	0	0	25	0	0	50	0	3	2	2	0	2	7	1	0
FAM118B	0	0	0	67	0	0	0	158	0	105	0	71	0	0	198	62	0	152	129	0	176	0	121	135	207	211	0	0	0	0	0	0	0	0	7	627	0	3	0	21	0	0	156	0	0	0	0	9	0	0	0	0	47	27	0	7	0	0	93	0	0	2	0	0	0	0	0	142	0	0	5	0	473	0
FAM120A	0	0	0	19	0	0	0	137	0	59	0	190	328	0	0	79	0	1	42	1	652	0	319	0	151	565	0	0	0	0	0	701	1	40	0	538	154	0	0	0	0	0	25	123	16	1	0	0	0	0	0	47	120	55	132	362	8	36	28	0	22	0	0	0	77	519	1	42	1	30	60	265	220	166
FAM120AOS	104	0	0	0	24	0	1	118	0	9	0	0	0	0	0	14	0	0	38	0	500	1	127	0	444	642	0	0	0	0	0	350	0	0	0	0	0	10	0	0	73	0	0	0	104	0	1	0	0	1	0	38	182	62	290	68	83	202	58	0	0	0	0	0	22	321	837	47	0	213	337	128	221	367
FAM120B	0	0	0	0	0	0	0	3	0	95	30	0	0	0	0	198	0	0	72	0	0	0	0	0	128	178	108	0	0	0	0	27	0	0	0	0	0	0	0	2	249	0	0	0	0	0	141	0	4	0	108	2	16	35	16	18	41	0	27	0	0	0	20	0	205	235	0	95	0	83	186	29	4	0
FAM120C	0	0	0	0	0	0	0	5	0	0	0	0	105	0	0	0	0	0	0	0	84	10	128	0	341	4	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	2	0	37	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	1
FAM122A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	72	8	1	0	0	1	0	64	0	0	0	0	0	40	0	3	0	0	0	0	0	0	0	0	0	0	0	0	44	0	20	53	0	0	12	0	3	17	0	0	31	131	0	67	0	11	0	0	12	0
FAM122B	0	0	0	0	0	0	0	28	0	114	0	2	46	0	0	258	0	50	73	0	0	0	0	0	81	129	0	0	0	0	0	93	0	3	0	103	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	5	5	35	32	109	199	91	0	1	0	0	168	0	47	0	36	0	0	84	164	0	2
FAM122C	0	1	0	6	0	2	0	14	2	22	4	3	0	0	1	10	4	10	43	0	9	16	2	0	6	10	4	0	0	2	32	0	4	18	6	7	8	14	9	1	7	0	4	2	223	6	11	13	5	0	11	0	2	2	1	5	0	50	10	0	7	3	0	1	25	3	0	0	4	4	23	139	7	0
FAM123A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FAM123B	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	33	0	15	2	1	1	2	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
FAM123C	0	0	0	1	0	0	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	5	0	0	0	0	14	0	3	48	0	2	0	0	0	0	1	0	15	0	56	0	1	3	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0
FAM124A	1	0	0	0	0	1	0	0	0	1	6	0	0	0	0	1	0	13	1	0	1	5	1	0	0	4	0	0	0	0	28	0	29	4	0	0	7	0	2	1	11	0	2	0	128	76	21	35	4	0	1	0	0	0	1	1	0	3	2	1	0	0	0	0	0	1	0	0	1	0	9	1	1	0
FAM124B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	36	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
FAM125A	0	0	0	0	0	0	19	74	44	0	39	66	0	0	0	0	0	11	0	0	0	0	19	0	169	366	0	433	0	0	0	9	50	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	61	0	36	16	0	29	0	0	0	0	0	0	20	0	304	32	35	0	52	62	0	0
FAM125B	0	0	0	0	0	0	0	7	0	133	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	43	1	0	71	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	40	0	0	11	24	0	0	45	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
FAM126A	0	1	0	0	0	0	0	484	0	191	34	0	0	21	0	127	0	0	61	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	22	0	0	0	64	11	4	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FAM126B	0	0	0	11	0	0	1	12	0	300	4	121	0	1	2	37	229	82	15	1	300	42	99	0	170	102	2	1	0	0	57	408	2	17	16	232	876	117	15	35	131	1	28	1	216	3	15	10	12	0	133	39	29	21	9	12	1	47	31	0	1	3	0	2	0	109	33	55	71	76	68	7	21	0
FAM127A	113	0	10	0	17	0	0	343	0	47	0	0	0	0	0	103	0	0	19	0	139	0	87	0	155	13	0	1134	0	0	0	273	57	1	0	120	0	0	0	0	0	0	25	0	172	0	0	0	0	0	0	1	156	24	18	58	51	33	48	0	11	0	26	0	83	145	244	275	102	149	109	81	57	249
FAM127B	0	0	0	0	0	0	0	499	0	12	0	0	0	0	0	10	1	0	15	0	16	0	116	0	200	89	0	782	0	0	0	188	99	11	0	85	0	0	0	0	0	0	0	0	185	0	8	3	0	19	0	0	64	36	65	78	0	64	23	0	0	33	0	0	141	1	428	96	121	57	68	182	173	86
FAM127C	0	0	0	0	0	0	0	46	0	1	0	175	0	0	0	0	0	0	12	0	0	0	40	0	235	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	9	46	0	0	2	0	0	0	0	0	92	131	0	227	87	72	0	72	127	24
FAM129A	0	1	0	0	0	0	1	128	0	3	3	4	0	0	1	3	0	0	19	2	458	78	62	0	312	455	0	0	0	0	9	2	0	6	1	0	797	5	0	0	2	0	13	0	110	2	5	10	4	0	9	0	1	0	0	1	12	361	1	0	0	1	0	1	3	2	450	513	187	265	1300	109	15	26
FAM129B	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	94	1	15	0	12	38	0	0	0	0	0	57	0	0	0	0	0	6	0	0	0	0	0	0	1	0	5	1	0	0	0	3	8	7	4	24	0	4	0	0	0	0	0	0	1	4	0	5	0	5	3	10	12	23
FAM129C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM131A	0	0	0	0	0	0	0	20	0	0	1	0	0	0	0	0	0	0	6	0	0	0	2	0	0	13	0	0	0	0	0	0	128	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
FAM131B	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	7	48	0	0	382	0	0	0
FAM131C	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM132A	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM133A	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM133B	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	4	0	0	10	0	0	0	0	0	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	0	0
FAM134A	0	2	0	2	50	181	0	158	0	72	208	0	0	0	1	87	0	12	20	2	17	62	164	82	188	123	27	1	0	6	23	201	393	10	6	5	10	31	2	7	332	0	94	0	264	2	11	4	10	0	4	63	118	12	117	123	23	241	101	1	27	19	0	5	25	275	892	2	0	19	324	49	56	0
FAM134B	0	0	0	0	0	0	0	48	0	0	0	83	0	0	0	0	0	0	0	0	109	0	15	3	10	9	0	38	0	0	0	0	144	0	0	1	0	0	0	2	0	0	0	0	6	0	0	0	0	12	0	36	222	52	11	114	0	0	25	0	1	0	0	0	1	46	0	8	0	0	0	0	117	0
FAM134C	0	0	11	65	0	2	0	51	0	43	4	0	1	2	0	112	0	6	8	85	16	19	165	2	262	27	0	2	0	0	17	245	1	13	4	11	5	27	21	1	2	0	54	0	124	1	10	9	7	0	5	1	53	42	12	63	0	46	100	0	8	2	0	1	0	115	71	75	2	3	184	12	117	199
FAM135A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	37	2	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	0
FAM135B	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	219	0	0	1	69
FAM136A	0	0	0	0	0	139	25	609	0	0	0	0	0	0	0	8	1	0	0	0	272	227	65	1	358	348	0	0	0	0	0	498	0	0	0	0	0	0	7	0	0	0	4	0	109	0	0	2	0	60	75	51	39	8	67	177	0	201	0	0	0	0	0	0	71	299	71	150	8	68	278	579	157	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	26	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138D	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
FAM138E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM13A	0	0	0	0	0	0	0	91	0	1	0	0	0	0	30	0	0	13	12	0	109	412	204	0	341	207	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	23	19	126	396	0	0	4	0	0	0	0	0	1	53	0	0	0	0	0	268	302	0
FAM13A-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	106	11	0	0	3	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	33	0	0	0	14	0	0	30	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0
FAM13B	0	42	0	228	0	0	0	176	0	242	0	36	0	31	0	243	0	117	72	1	375	3	9	44	372	74	0	0	0	0	0	20	0	0	0	0	0	0	0	6	275	0	1	0	28	0	4	0	0	0	12	1	20	3	131	94	0	61	230	1	2	0	15	67	39	103	0	20	102	33	8	619	173	0
FAM13C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM149A	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FAM149B1	0	0	1	23	1	0	0	7	0	105	9	3	0	0	0	142	0	0	40	2	0	0	11	0	18	54	3	0	0	0	0	0	0	0	0	9	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	57	0	32	29	0	5	25	0	2	0	0	0	0	0	0	0	0	27	0	0	22	113
FAM150A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM150B	0	0	2	19	0	0	0	5	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	4	0	0	0	30	0	0	45	0	0	0	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM151A	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM151B	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	39	10	0	8	0	0	0	0	0	0	0	0	0	121	0	1	4	0	10	0
FAM153A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM153B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	21	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FAM153C	0	3	0	1	0	0	1	7	0	6	6	0	0	1	2	2	0	1	2	0	12	8	0	0	1	4	0	0	0	0	14	3	1	3	3	0	0	6	10	0	4	0	11	0	104	1	10	6	3	0	0	0	6	2	2	2	0	2	2	0	0	1	0	0	0	1	0	2	2	0	12	6	1	2
FAM154A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM154B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM155A	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	93	0	40	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM155B	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0
FAM156A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0
FAM156B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM157A	0	0	0	0	0	0	0	1	0	15	4	10	0	0	0	20	0	38	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	67	0	0	4	0	0	0	0	0	0	0	6	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
FAM157B	0	1	0	0	0	0	0	9	0	36	21	14	0	5	2	21	0	0	9	0	9	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	11	0	0	6	0	0	0	0	0	3	0	0	0	8	0	9	0	35	0	0	0	0	6	6	0	0	3	0	0	0	4	0	0
FAM158A	0	0	0	0	0	0	5	19	0	0	0	0	0	0	0	0	0	0	14	0	44	0	71	41	166	366	120	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	29	0	29	0	39	13	6	97	0	0	6	0	0	34	65	100	0	1	0	0	41	0	0	0
FAM159A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM159B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
