Gene start (bp),Gene end (bp),Gene % GC content,Gene name,Gene type
6870592,6877936,44.41,DEFB1,protein_coding
257724,261096,42.96,DEFB132,protein_coding
123379654,123930152,42.52,DENND1A,protein_coding
140518420,140673993,47.56,DENND2A,protein_coding
114582848,114670422,39.41,DENND2C,protein_coding
141117278,141195808,51.59,DENND3,protein_coding
65658046,65792293,37.31,DENND4A,protein_coding
153929501,153946718,56.50,DENND4B,protein_coding
19230435,19374281,38.71,DENND4C,protein_coding
68474152,68497221,34.94,DEPDC1,protein_coding
60596912,60700190,38.63,DEPDC1B,protein_coding
31753867,31908033,45.28,DEPDC5,protein_coding
119873717,120050918,43.18,DEPTOR,protein_coding
15911302,16037381,39.11,DERA,protein_coding
10928891,10942468,51.36,DEXI,protein_coding
75759512,75801535,52.02,DGAT2,protein_coding
55927319,55954027,48.71,DGKA,protein_coding
233354507,233472104,47.76,DGKD,protein_coding
233354494,233472104,47.77,DGKD,protein_coding
56834107,56869567,38.37,DGKE,protein_coding
186105668,186362234,44.70,DGKG,protein_coding
958887,986895,60.54,DGKQ,protein_coding
26432282,26471306,45.46,DHDDS,protein_coding
48933699,48944969,52.54,DHDH,protein_coding
24290597,24299779,47.91,DHRS1,protein_coding
24290598,24299780,47.91,DHRS1,protein_coding
36592761,36601768,54.48,DHRS11,protein_coding
36591879,36600804,54.25,DHRS11,protein_coding
51767993,51804163,47.25,DHRS12,protein_coding
28897781,28903079,54.99,DHRS13,protein_coding
23630115,23645639,49.50,DHRS2,protein_coding
169064789,169096167,39.63,DHRS9,protein_coding
12068954,12123221,46.22,DHTKD1,protein_coding
24517441,24584554,37.26,DHX15,protein_coding
5440917,5468982,45.78,DHX33,protein_coding
38962299,39039723,41.33,DHX35,protein_coding
72093613,72112912,51.48,DHX38,protein_coding
59565558,59608345,39.62,DHX40,protein_coding
38797729,38875934,41.54,DHX57,protein_coding
42101404,42112714,55.53,DHX58,protein_coding
122207663,122227456,47.03,DIABLO,protein_coding
141515016,141619055,41.24,DIAPH1,protein_coding
96684663,97604997,37.00,DIAPH2,protein_coding
59665583,60163928,35.91,DIAPH3,protein_coding
95086228,95158010,38.00,DICER1,protein_coding
95157645,95181475,43.06,DICER1-AS1,lncRNA
62877738,62937952,49.19,DIDO1,protein_coding
62347284,62403943,37.80,DIMT1,protein_coding
46458891,46570015,44.88,DIP2A,protein_coding
2714567,2721372,60.98,DIRAS1,protein_coding
72752169,72782096,36.46,DIS3,protein_coding
66293217,66333898,42.92,DIS3L,protein_coding
231961245,232344350,42.48,DIS3L2,protein_coding
222815022,223005995,37.25,DISP1,protein_coding
40358219,40378621,53.06,DISP2,protein_coding
52314281,52318042,43.33,DKK1,protein_coding
11956207,12009769,48.21,DKK3,protein_coding
49361783,49375116,50.25,DKKL1,protein_coding
112025408,112064404,40.93,DLAT,protein_coding
13083361,13604610,38.54,DLC1,protein_coding
50082169,50906856,39.63,DLEU1,lncRNA
83455012,85627922,37.02,DLG2,protein_coding
7187187,7219841,54.54,DLG4,protein_coding
77790791,77926526,50.00,DLG5,protein_coding
77790791,77926755,50.06,DLG5,protein_coding
3496032,4455307,39.67,DLGAP1,protein_coding
55148112,55191608,39.09,DLGAP5,protein_coding
170282206,170306565,53.53,DLL1,protein_coding
170282206,170306565,53.53,DLL1,protein_coding
172099438,172102900,59.80,DLX2,protein_coding
97005553,97011040,49.51,DLX6,protein_coding
96955141,97014088,42.60,DLX6-AS1,lncRNA
38518948,38570204,42.02,DMC1,protein_coding
31097677,33339609,36.42,DMD,protein_coding
35497220,35513658,54.04,DMKN,protein_coding
87152409,87196337,35.79,DMTF1,protein_coding
119037772,119249138,37.58,DMXL1,protein_coding
51447711,51622833,36.95,DMXL2,protein_coding
49625174,49635244,46.15,DNAAF2,protein_coding
52316319,52400492,55.25,DNAH1,protein_coding
21543039,21901839,38.74,DNAH11,protein_coding
57293699,57544344,38.66,DNAH12,protein_coding
224896262,225399292,37.40,DNAH14,protein_coding
7717354,7833744,48.43,DNAH2,protein_coding
20933111,21159441,44.03,DNAH3,protein_coding
74274234,74314884,50.43,DNAI2,protein_coding
46955362,46973674,42.53,DNAJA2,protein_coding
78264086,78282196,47.08,DNAJA4,protein_coding
14514769,14560391,52.08,DNAJB1,protein_coding
72332830,72355149,53.01,DNAJB12,protein_coding
99896248,99946618,34.70,DNAJB14,protein_coding
157335381,157417439,48.15,DNAJB6,protein_coding
40859549,40862113,36.73,DNAJB7,protein_coding
67796669,67838188,39.64,DNAJC12,protein_coding
132417502,132539032,36.80,DNAJC13,protein_coding
43023203,43114213,38.12,DNAJC15,protein_coding
15526813,15592379,44.67,DNAJC16,protein_coding
40765161,40807478,50.20,DNAJC17,protein_coding
139408588,139444491,44.33,DNAJC18,protein_coding
139408588,139444491,44.33,DNAJC18,protein_coding
49346888,49357546,46.84,DNAJC22,protein_coding
24943636,24972094,40.71,DNAJC27,protein_coding
95677139,95794988,39.79,DNAJC3,protein_coding
73680918,73683453,54.26,DNAJC30,protein_coding
64230278,64234286,58.22,DNAJC4,protein_coding
66021553,66101245,40.46,DNAJC5B,protein_coding
65248219,65415871,40.01,DNAJC6,protein_coding
41976421,42021376,45.79,DNAJC7,protein_coding
28199456,28233029,43.16,DNAJC8,protein_coding
28199456,28233029,43.16,DNAJC8,protein_coding
73183362,73247255,39.91,DNAJC9,protein_coding
12875209,12881466,52.62,DNASE2,protein_coding
99790156,99806927,49.14,DNM1P46,transcribed_unprocessed_pseudogene
171841498,172418466,37.28,DNM3,protein_coding
99927010,99959050,43.04,DNMBP-AS1,lncRNA
10133342,10231286,50.43,DNMT1,protein_coding
32762385,32809356,49.40,DNMT3B,protein_coding
45791954,45811427,45.98,DNTTIP1,protein_coding
224765090,225042468,39.37,DOCK10,protein_coding
118495815,118686163,39.70,DOCK11,protein_coding
169637268,170083382,43.39,DOCK2,protein_coding
11199295,11262524,53.79,DOCK6,protein_coding
62454298,62688386,36.07,DOCK7,protein_coding
98793429,99086625,41.78,DOCK9,protein_coding
3490821,3500674,56.46,DOHH,protein_coding
74549026,74557551,58.43,DOK1,protein_coding
21908873,21913690,60.15,DOK2,protein_coding
177501904,177511274,58.12,DOK3,protein_coding
57471922,57487327,58.39,DOK4,protein_coding
69400888,69849087,36.19,DOK6,protein_coding
128945530,128947603,56.70,DOLK,protein_coding
129081111,129090438,57.75,DOLPP1,protein_coding
119096025,119108331,50.63,DPAGT1,protein_coding
101570560,101609662,50.18,DPCD,protein_coding
67987394,68000586,54.36,DPEP2,protein_coding
65333852,65354262,48.46,DPF2,protein_coding
72609034,72894101,46.01,DPF3,protein_coding
43970000,43973369,56.05,DPH2,protein_coding
16257061,16264969,40.33,DPH3,protein_coding
62845664,62845912,45.38,DPH3P1,processed_pseudogene
50934867,50959140,40.20,DPM1,protein_coding
127935099,127937854,55.70,DPM2,protein_coding
65442463,65517704,40.97,DPP8,protein_coding
109326141,109337572,43.85,DPPA4,protein_coding
168695468,168729206,42.19,DPT,protein_coding
34928876,35038271,37.49,DPY19L1,protein_coding
63558913,63668939,36.31,DPY19L2,protein_coding
35079989,35186041,36.03,DPY19L2P1,transcribed_unprocessed_pseudogene
32405543,32485895,40.45,DPY19L3,protein_coding
31867809,32039805,39.00,DPY30,protein_coding
97077743,97995000,35.10,DPYD,protein_coding
26514031,26658178,44.97,DPYSL2,protein_coding
132186948,132205759,61.60,DPYSL4,protein_coding
74518131,74526281,49.44,DQX1,protein_coding
93345907,93369493,36.44,DR1,protein_coding
101877580,102012130,41.40,DRAM1,protein_coding
111117163,111140203,37.87,DRAM2,protein_coding
18087892,18107970,53.56,DRG2,protein_coding
31400494,31532196,39.75,DROSHA,protein_coding
67576031,67586429,41.51,DSEL,protein_coding
67506587,67516720,40.56,DSEL,protein_coding
31498177,31549008,39.17,DSG2,protein_coding
36751791,36773818,44.84,DSN1,protein_coding
56457987,56954830,38.08,DST,protein_coding
212035553,212107400,38.44,DTL,protein_coding
15522807,15663058,39.93,DTNBP1,protein_coding
49621037,49656232,36.26,DTWD1,protein_coding
113056709,113098028,53.96,DTX1,protein_coding
76501267,76505995,61.85,DTX2,protein_coding
76461676,76505995,54.28,DTX2,protein_coding
59171430,59208588,47.60,DTX4,protein_coding
45092650,45114172,54.78,DUOX2,protein_coding
82057506,82065887,64.45,DUS1L,protein_coding
73762184,73780157,40.29,DUSP11,protein_coding
161749758,161757238,39.87,DUSP12,protein_coding
37494470,37518136,46.29,DUSP14,protein_coding
37489891,37513501,46.16,DUSP14,protein_coding
12473287,12562868,40.41,DUSP16,protein_coding
12473282,12562863,40.41,DUSP16,protein_coding
30652051,30667887,47.98,DUSP18,protein_coding
183078559,183100008,38.14,DUSP19,protein_coding
96143169,96145440,63.64,DUSP2,protein_coding
291630,351355,47.53,DUSP22,protein_coding
43766125,43778977,50.90,DUSP3,protein_coding
29333064,29350684,51.10,DUSP4,protein_coding
89347235,89352501,46.40,DUSP6,protein_coding
52048919,52056571,59.39,DUSP7,protein_coding
48331011,48343373,39.96,DUT,protein_coding
1335276,1349418,66.32,DVL1,protein_coding
7225342,7234517,55.13,DVL2,protein_coding
80344745,80368073,43.12,DYDC2,protein_coding
49036387,49461347,38.56,DYM,protein_coding
95772506,96110322,38.59,DYNC1I1,protein_coding
171687409,171750158,36.36,DYNC1I2,protein_coding
32525974,32570858,39.15,DYNC1LI1,protein_coding
103109410,103479863,35.10,DYNC2H1,protein_coding
43774039,43810010,37.57,DYNC2LI1,protein_coding
58083419,58095542,49.00,DYNLL2,protein_coding
37836757,37847571,37.43,DYNLT3,protein_coding
206635536,206684419,44.46,DYRK3,protein_coding
4562204,4615302,42.77,DYRK4,protein_coding
71453561,71686763,49.65,DYSF,protein_coding
206651621,206721570,38.38,DYTN,protein_coding
18383367,18467281,41.71,DZANK1,protein_coding
95578202,95644706,41.42,DZIP1,protein_coding
108589705,108694840,35.70,DZIP3,protein_coding
33675477,33686385,55.49,E2F1,protein_coding
23513902,23538697,51.65,E2F2,protein_coding
23506438,23531233,51.65,E2F2,protein_coding
20401879,20493714,42.72,E2F3,protein_coding
11444375,11466177,41.96,E2F6,protein_coding
2223580,2235742,61.59,E4F1,protein_coding
15427598,15450635,43.46,EAF1,protein_coding
121835183,121886526,36.14,EAF2,protein_coding
34515938,34539711,44.10,EAPP,protein_coding
2692874,2760108,49.22,EBF4,protein_coding
73061659,73063337,41.75,EBLN2,protein_coding
48521799,48528716,49.44,EBP,protein_coding
73130155,73169055,39.47,ECD,protein_coding
21217247,21345572,52.21,ECE1,protein_coding
184276011,184293031,52.92,ECE2,protein_coding
133362485,133373354,55.55,ECHS1,protein_coding
2239402,2252300,55.22,ECI1,protein_coding
4115693,4135597,41.70,ECI2,protein_coding
150508062,150513789,55.19,ECM1,protein_coding
139448560,139462009,51.16,ECSCR,protein_coding
139448560,139462743,51.11,ECSCR,protein_coding
11505929,11529172,50.88,ECSIT,protein_coding
172750682,172821474,34.96,ECT2,protein_coding
138795911,138904070,41.46,ECT2L,protein_coding
69616067,70039472,38.75,EDA,protein_coding
74630558,74696292,43.70,EDC3,protein_coding
67873052,67884499,57.30,EDC4,protein_coding
20745887,20748380,43.58,EDDM3A,protein_coding
184690237,184754907,34.39,EDEM3,protein_coding
12290361,12297194,42.83,EDN1,protein_coding
41478775,41484683,56.96,EDN2,protein_coding
36153254,36301538,45.44,EEPD1,protein_coding
105565120,105600875,43.10,EFCAB10,protein_coding
89794669,89954777,40.00,EFCAB11,protein_coding
244969705,245127164,42.37,EFCAB2,protein_coding
55865967,55924139,37.96,EFEMP1,protein_coding
65866441,65873592,60.57,EFEMP2,protein_coding
19879472,19947025,40.39,EFHB,protein_coding
52362123,52529886,41.58,EFHC1,protein_coding
44147872,44343672,39.92,EFHC2,protein_coding
232606057,232682780,48.71,EFHD1,protein_coding
155063737,155069553,54.13,EFNA4,protein_coding
107376894,107670937,38.28,EFNA5,protein_coding
68829021,68842160,56.39,EFNB1,protein_coding
106489745,106535662,41.29,EFNB2,protein_coding
7705202,7711372,58.11,EFNB3,protein_coding
131904093,132013642,35.32,EFR3A,protein_coding
25042076,25159135,48.39,EFR3B,protein_coding
23356403,23365752,54.29,EFS,protein_coding
44849948,44899445,46.17,EFTUD2,protein_coding
109912883,110013766,39.12,EGF,protein_coding
136658856,136672678,67.31,EGFL7,protein_coding
55019017,55211628,44.57,EGFR,protein_coding
231363751,231422287,39.60,EGLN1,protein_coding
33924227,34462774,41.68,EGLN3,protein_coding
4749192,4751590,44.64,EGOT,lncRNA
138465479,138469303,56.52,EGR1,protein_coding
22687659,22693480,56.37,EGR3,protein_coding
62673851,63046487,36.70,EHBP1,protein_coding
65576046,65592650,60.61,EHBP1L1,protein_coding
64851642,64888296,54.84,EHD1,protein_coding
47713422,47743134,52.89,EHD2,protein_coding
31234152,31269451,50.24,EHD3,protein_coding
34621093,34663288,43.51,EHF,protein_coding
125569280,125584684,43.38,EI24,protein_coding
39538707,39540161,50.10,EID2,protein_coding
104303739,104305205,44.72,EID3,protein_coding
40309707,40312424,41.69,EIF1B,protein_coding
6022247,6059175,44.67,EIF2AK1,protein_coding
88556741,88691518,40.39,EIF2AK3,protein_coding
75002921,75012366,44.02,EIF2B2,protein_coding
206571292,206612465,46.17,EIF2D,protein_coding
44537125,44563029,42.02,EIF3J,protein_coding
37848868,37889407,46.00,EIF3L,protein_coding
80134369,80147151,46.23,EIF4A3,protein_coding
98879276,98929133,39.01,EIF4E,protein_coding
71675414,71754773,41.79,EIF4E3,protein_coding
38030534,38060365,49.17,EIF4EBP1,protein_coding
31436977,31496108,44.22,EIF4ENIF1,protein_coding
10797050,10808940,41.39,EIF4G2,protein_coding
20806292,21176888,39.36,EIF4G3,protein_coding
74174231,74197122,45.40,EIF4H,protein_coding
103333544,103345025,44.94,EIF5,protein_coding
35278907,35284985,52.05,EIF6,protein_coding
40931924,41061440,38.79,ELF1,protein_coding
139028112,139177218,39.88,ELF2,protein_coding
202007945,202017183,54.80,ELF3,protein_coding
130063955,130110716,51.68,ELF4,protein_coding
96194375,96269824,45.12,ELK3,protein_coding
18442663,18522116,55.51,ELL,protein_coding
36852906,37449223,41.67,ELMO1,protein_coding
46366050,46432985,44.15,ELMO2,protein_coding
67199111,67204029,64.02,ELMO3,protein_coding
140524168,140553770,34.79,ELMOD2,protein_coding
85354394,85391752,46.14,ELMOD3,protein_coding
43363398,43368074,58.76,ELOVL1,protein_coding
60751791,60844274,39.18,ELOVL7,protein_coding
31509755,31790324,35.79,ELP4,protein_coding
50476400,50490871,57.11,EMC10,protein_coding
9962537,10011116,44.90,EMC3,protein_coding
24138958,24141590,53.51,EMC9,protein_coding
24138959,24141591,53.51,EMC9,protein_coding
154379273,154381574,61.82,EMD,protein_coding
6970913,6997428,45.52,EMG1,protein_coding
29205896,29259597,52.61,EMID1,protein_coding
99737693,99942060,45.19,EML1,protein_coding
45606994,45645602,52.69,EML2,protein_coding
62602218,62612775,57.84,EML3,protein_coding
42169353,42332548,38.02,EML4,protein_coding
13196723,13219941,44.21,EMP1,protein_coding
48321509,48330553,52.78,EMP3,protein_coding
74627406,74641424,45.65,ENC1,protein_coding
95089846,95132645,42.67,ENDOD1,protein_coding
128818500,128822676,61.55,ENDOG,protein_coding
127815013,127854658,53.14,ENG,protein_coding
24981979,25062279,38.61,ENKUR,protein_coding
8861000,8879190,50.15,ENO1,protein_coding
4948092,4957131,58.22,ENO3,protein_coding
43213518,43786908,39.04,ENOX1,protein_coding
131808016,131895155,38.19,ENPP1,protein_coding
119557086,119673453,39.28,ENPP2,protein_coding
131628442,131747418,38.13,ENPP3,protein_coding
46159185,46170980,38.41,ENPP5,protein_coding
95711779,95877266,40.86,ENTPD1,protein_coding
73958010,74019399,44.47,ENTPD5,protein_coding
99659509,99711241,39.77,ENTPD7,protein_coding
68975217,69013684,41.57,EOGT,protein_coding
41092592,41180077,42.02,EP300,protein_coding
46293667,46386697,46.71,EPAS1,protein_coding
28887091,29120046,41.87,EPB41,protein_coding
5392381,5630700,39.83,EPB41L3,protein_coding
43197227,43221018,50.03,EPB42,protein_coding
32267751,32378798,38.90,EPC1,protein_coding
37683843,37951936,38.37,EPDR1,protein_coding
45847609,45967329,40.88,EPG5,protein_coding
143390289,143408856,52.59,EPHA1,protein_coding
143390289,143408856,52.59,EPHA1,protein_coding
221418027,221574202,40.26,EPHA4,protein_coding
134795260,135260467,44.82,EPHB1,protein_coding
22710839,22921500,51.95,EPHB2,protein_coding
184561785,184582408,58.43,EPHB3,protein_coding
100802565,100827523,54.77,EPHB4,protein_coding
27490781,27545564,47.54,EPHX2,protein_coding
145382535,145736023,37.55,EPM2A,protein_coding
50532682,50543750,58.65,EPN3,protein_coding
11377207,11384342,57.06,EPOR,protein_coding
51354263,51519266,38.04,EPS15,protein_coding
42886388,42992271,39.57,EPSTI1,protein_coding
96875986,96919703,38.41,ERAP2,protein_coding
56076799,56103505,50.12,ERBB3,protein_coding
990509,1495933,39.35,ERC1,protein_coding
45407334,45478828,52.10,ERCC1,protein_coding
127257290,127294166,46.18,ERCC3,protein_coding
102845831,102875995,39.58,ERCC5,protein_coding
72204657,72239027,43.96,ERCC6L,protein_coding
95871264,96121154,41.71,ERCC6L2,protein_coding
60866454,60945073,37.18,ERCC8,protein_coding
38380027,38661780,41.91,ERG,protein_coding
9002147,9116746,41.64,ERI1,protein_coding
44221070,44355260,47.73,ERI3,protein_coding
731140,738106,55.83,ERICH1,protein_coding
614746,738106,51.17,ERICH1,protein_coding
100150094,100186033,38.15,ERLIN1,protein_coding
42817122,42844991,43.14,ERMAP,protein_coding
64039080,64130819,45.09,ERN1,protein_coding
14914039,14938537,38.33,ERP27,protein_coding
99979185,100099000,37.85,ERP44,protein_coding
8004404,8026309,42.80,ERRFI1,protein_coding
124752583,124762290,54.05,ESAM,protein_coding
21529284,21600884,41.11,ESCO1,protein_coding
27771949,27812640,37.71,ESCO2,protein_coding
46771256,46797420,34.83,ESD,protein_coding
6424776,6461367,60.15,ESPN,protein_coding
151656691,152129619,39.66,ESR1,protein_coding
54632122,54639857,46.35,ESRG,lncRNA
94641074,94707466,40.32,ESRP1,protein_coding
64305497,64316743,57.13,ESRRA,protein_coding
158730995,158830253,43.39,ESYT2,protein_coding
67397322,67412089,33.29,ETAA1,protein_coding
76215353,76311472,40.14,ETFA,protein_coding
43506719,43527230,48.57,ETHE1,protein_coding
22625075,22690665,34.40,ETNK1,protein_coding
204131062,204152044,52.56,ETNK2,protein_coding
128458761,128587558,42.50,ETS1,protein_coding
13891229,13991425,36.30,ETV1,protein_coding
11649674,11895377,43.20,ETV6,protein_coding
36354091,36387800,49.34,ETV7,protein_coding
5542772,5709548,45.06,EVC2,protein_coding
31316410,31321749,32.83,EVI2A,protein_coding
76004502,76027306,59.41,EVPL,protein_coding
241847967,241895148,39.58,EXO1,protein_coding
55853648,55905086,34.98,EXOC1,protein_coding
45212370,45245407,52.57,EXOC3L2,protein_coding
133253073,134066589,38.30,EXOC4,protein_coding
231332753,231337852,43.25,EXOC8,protein_coding
130693721,130704894,47.74,EXOSC2,protein_coding
37759234,37832117,40.90,EXOSC3,protein_coding
41386374,41397359,52.36,EXOSC5,protein_coding
44975241,45036066,46.87,EXOSC7,protein_coding
36998816,37009614,40.36,EXOSC8,protein_coding
121801318,121817021,37.71,EXOSC9,protein_coding
108505435,108593768,41.40,EXPH5,protein_coding
100872372,100895179,38.14,EXTL2,protein_coding
71197433,71592025,37.48,EYA1,protein_coding
46894624,47188844,45.44,EYA2,protein_coding
27970344,28088637,39.51,EYA3,protein_coding
42700275,42745049,45.44,EZH1,protein_coding
148807257,148884321,39.19,EZH2,protein_coding
158765741,158819368,46.15,EZR,protein_coding
6144084,6321013,41.74,F13A1,protein_coding
76716126,76735770,42.64,F2R,protein_coding
76818933,76835315,44.69,F2RL1,protein_coding
76615482,76623413,40.60,F2RL2,protein_coding
16888999,16892606,61.17,F2RL3,protein_coding
113105788,113120685,61.36,F7,protein_coding
154835788,155026940,39.69,F8,protein_coding
57286706,57489193,37.66,FAAH2,protein_coding
81280536,81284777,44.25,FABP5,protein_coding
122779716,122784074,37.03,FABP7,protein_coding
61799627,61829318,50.81,FADS1,protein_coding
61792980,61867354,51.23,FADS2,protein_coding
50437028,50960267,38.27,FAF1,protein_coding
1826941,1840207,45.47,FAHD1,protein_coding
49866896,49904217,53.98,FAIM2,protein_coding
73207353,73236753,43.89,FAM104A,protein_coding
55143102,55161310,36.90,FAM104B,protein_coding
14518557,14774897,43.19,FAM107B,protein_coding
833715,857463,51.88,FAM110A,protein_coding
57994509,58204279,40.50,FAM110B,protein_coding
38814,46870,46.22,FAM110C,protein_coding
38867677,38945739,42.57,FAM114A1,protein_coding
153990148,154038936,37.35,FAM114A2,protein_coding
54068324,54183281,42.69,FAM120C,protein_coding
224378698,224402107,44.16,FAM124B,protein_coding
22889371,23014130,37.33,FAM126A,protein_coding
184335926,184348421,55.67,FAM131A,protein_coding
143353400,143362770,55.07,FAM131B,protein_coding
16057769,16073651,57.98,FAM131C,protein_coding
92560758,92590393,37.44,FAM133B,protein_coding
70295975,70302090,48.46,FAM136A,protein_coding
177707981,177783398,44.34,FAM153A,protein_coding
69504326,69532508,50.05,FAM155B,protein_coding
6211345,6234711,44.55,FAM160A2,protein_coding
114821744,114899832,39.90,FAM160B1,protein_coding
22089150,22104911,57.18,FAM160B2,protein_coding
122384176,122412334,38.78,FAM162A,protein_coding
11421476,11475908,52.56,FAM167A,protein_coding
100535374,100586741,35.57,FAM174A,protein_coding
35044907,35113130,41.39,FAM177A1,protein_coding
222737207,222750805,39.61,FAM177B,protein_coding
96875882,96986580,52.10,FAM178B,protein_coding
43145153,43156396,43.92,FAM183A,protein_coding
118959763,119149387,39.55,FAM184A,protein_coding
17629306,17781621,44.07,FAM184B,protein_coding
177519789,177554563,49.93,FAM193B,protein_coding
104166453,104195902,37.05,FAM199X,protein_coding
99546300,99558536,44.01,FAM200A,protein_coding
196274,199037,64.73,FAM20C,protein_coding
195290,199896,62.51,FAM20C,protein_coding
212160,279890,59.41,FAM20C,protein_coding
192571,260772,60.00,FAM20C,protein_coding
13663347,13726663,40.65,FAM210A,protein_coding
52581317,52709817,37.21,FAM214A,protein_coding
35104112,35116341,54.68,FAM214B,protein_coding
34398184,34458570,47.16,FAM219A,protein_coding
74899992,74906883,50.89,FAM219B,protein_coding
6329411,6348981,48.26,FAM220A,protein_coding
109713825,109770495,52.95,FAM222A,protein_coding
109734166,109773508,51.08,FAM222A-AS1,lncRNA
28755980,28855232,45.72,FAM222B,protein_coding
122849078,122879641,41.03,FAM24B,protein_coding
16185380,16192046,52.93,FAM32A,protein_coding
41304212,41357727,44.37,FAM3B,protein_coding
76214040,76283783,41.26,FAM47E,protein_coding
154444141,154450654,60.42,FAM50A,protein_coding
3849373,3851320,58.62,FAM50B,protein_coding
124619292,124744378,52.70,FAM53B,protein_coding
138331935,138349729,48.45,FAM53C,protein_coding
206186179,206204414,42.13,FAM72A,protein_coding
121167646,121185539,41.53,FAM72B,protein_coding
27725961,27763116,43.38,FAM76A,protein_coding
166057426,166167001,45.09,FAM78B,protein_coding
59372693,59523555,42.37,FAM81A,protein_coding
95391366,95450454,37.38,FAM81B,protein_coding
123178960,123210079,49.80,FAM83A,protein_coding
54846771,54945099,35.84,FAM83B,protein_coding
38926312,38953106,46.50,FAM83D,protein_coding
48599961,48615076,56.53,FAM83E,protein_coding
39994954,40043534,51.49,FAM83F,protein_coding
143710940,143720808,64.94,FAM83H,protein_coding
143723933,143738234,64.47,FAM83H,protein_coding
12182096,12194133,53.66,FAM86B1,protein_coding
67791648,67805336,52.92,FAM86C2P,transcribed_unprocessed_pseudogene
75431837,75445395,52.79,FAM86DP,transcribed_unprocessed_pseudogene
75421552,75435110,52.79,FAM86DP,transcribed_unprocessed_pseudogene
8232512,8242948,54.43,FAM86FP,transcribed_unprocessed_pseudogene
17600302,17611715,40.35,FAM8A1,protein_coding
123768439,123815452,36.92,FAM91A1,protein_coding
33583660,33599382,37.54,FAM98A,protein_coding
38403135,38409088,54.79,FAM98C,protein_coding
31055318,31094547,42.54,FAN1,protein_coding
30890559,30943108,42.81,FAN1,protein_coding
10026370,10101932,42.79,FANCD2,protein_coding
35452338,35467102,50.45,FANCE,protein_coding
35073835,35079942,53.03,FANCG,protein_coding
89243945,89317261,40.11,FANCI,protein_coding
45135930,45200890,37.51,FANCM,protein_coding
125896564,126009592,41.48,FANK1,protein_coding
13668668,13732346,36.04,FAR1,protein_coding
29149103,29340980,38.90,FAR2,protein_coding
241356285,241494841,45.58,FARP2,protein_coding
12922479,12934037,53.91,FARSA,protein_coding
222566899,222656092,38.07,FARSB,protein_coding
151076593,151080866,61.75,FASTK,protein_coding
206765357,206796189,38.19,FASTKD2,protein_coding
7859159,7869037,37.73,FASTKD3,protein_coding
186587794,186726722,41.53,FAT1,protein_coding
151504092,151591331,46.28,FAT2,protein_coding
99271168,99350062,41.71,FAXC,protein_coding
75909574,75941140,53.45,FBF1,protein_coding
91869411,91947987,47.21,FBLN5,protein_coding
112138385,112188218,49.52,FBLN7,protein_coding
94603133,94640249,48.66,FBP1,protein_coding
9810267,9827816,50.56,FBXL12,protein_coding
102419189,102423136,61.93,FBXL15,protein_coding
692498,705808,64.23,FBXL16,protein_coding
33277025,33403662,38.73,FBXL2,protein_coding
39252663,39402523,43.28,FBXL20,protein_coding
76992598,77027195,38.36,FBXL3,protein_coding
144355431,144359376,66.45,FBXL6,protein_coding
144355431,144359376,66.45,FBXL6,protein_coding
15500180,15939795,39.82,FBXL7,protein_coding
47789316,47906498,39.63,FBXO11,protein_coding
74073353,74147843,40.53,FBXO15,protein_coding
28348287,28490278,46.01,FBXO16,protein_coding
11637018,11655785,55.46,FBXO2,protein_coding
38990714,39032785,48.18,FBXO27,protein_coding
224114111,224162047,40.96,FBXO28,protein_coding
33740939,33774543,37.03,FBXO3,protein_coding
145793502,145814795,35.27,FBXO30,protein_coding
87326987,87392142,51.99,FBXO31,protein_coding
123497889,123541206,44.08,FBXO32,protein_coding
39397669,39432500,38.98,FBXO33,protein_coding
41925254,41941743,38.88,FBXO4,protein_coding
16246840,16352480,43.86,FBXO42,protein_coding
68459422,68467294,40.06,FBXO48,protein_coding
32474676,32498829,38.81,FBXO7,protein_coding
18744026,18779349,45.41,FBXW10,protein_coding
171861549,172006873,39.72,FBXW11,protein_coding
152320544,152536092,35.41,FBXW7,protein_coding
72956041,73090522,37.02,FCHO2,protein_coding
141639302,141651418,52.82,FCHSD1,protein_coding
72836745,73142318,38.88,FCHSD2,protein_coding
134903232,134917912,50.34,FCN1,protein_coding
157573747,157598085,42.07,FCRL4,protein_coding
57544377,57586732,42.66,FECH,protein_coding
115520908,115544775,35.43,FEM1C,protein_coding
61792911,61797238,48.87,FEN1,protein_coding
108747841,109196841,35.73,FER,protein_coding
64206678,64223891,56.16,FERMT3,protein_coding
90883695,90895776,59.18,FES,protein_coding
35443907,35451767,49.69,FFAR2,protein_coding
92947523,93036236,49.44,FGD3,protein_coding
14810853,14934571,48.45,FGD5,protein_coding
142592178,142698070,44.95,FGF1,protein_coding
7438273,7444937,56.80,FGF11,protein_coding
7438273,7444937,56.80,FGF11,protein_coding
122826708,122898236,38.74,FGF2,protein_coding
91906584,91909486,52.36,FGFBP3,protein_coding
38400215,38468834,49.49,FGFR1,protein_coding
26938470,26966650,35.89,FGFR1OP2,protein_coding
177086905,177098144,60.13,FGFR4,protein_coding
77193369,77199848,35.71,FGL2,protein_coding
15236521,15400283,47.43,FHAD1,protein_coding
152936323,152979671,44.98,FHDC1,protein_coding
59747277,61251459,38.91,FHIT,protein_coding
136146702,136211359,42.07,FHL1,protein_coding
105357712,105438513,44.54,FHL2,protein_coding
