HGNC approved symbol,HGNC approved name,Function,Modification,Target entity,Product,,,,,,,,,,,
HDAC4,histone deacetylase 4,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
HDAC5,histone deacetylase 5,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
HDAC6,histone deacetylase 6,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
HDAC7,histone deacetylase 7,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
HDAC8,histone deacetylase 8,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
HDAC9,histone deacetylase 9,Histone modification erase,Histone acetylation,H3Kac, H4Kac,H3K, H4K,,,,,,,,,
HDGF,hepatoma-derived growth factor,Chromatin remodeling, TF,TF repressor,DNA motif,#,,,,,,,,,,
HDGFL2,HDGF like 2,Histone modification read,#,H3K79me3, H4K20me3, H3K36me3,#,,,,,,,,,
HELLS,helicase, lymphoid-specific,Chromatin remodeling,#,#,#,,,,,,,,,,
HIF1AN,hypoxia inducible factor 1, alpha subunit inhibitor,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
HINFP,histone H4 transcription factor,Histone modification read, TF,TF activator, TF repressor,H4, DNA motif,#,,,,,,,,
HIRA,histone cell cycle regulator,Histone modification read,#,H2B, H4,#,,,,,,,,,,
HIRIP3,HIRA interacting protein 3,Histone modification read,#,H2A, H3,#,,,,,,,,,,
HJURP,Holliday junction recognition protein,Histone chaperone,#,H4,#,,,,,,,,,,,
HLCS,holocarboxylase synthetase (biotin-(proprionyl-CoA-carboxylase (ATP-hydrolysing)) ligase),Histone modification write,#,H1, H2A, H2B, H4,#,,,,,,,,
HLTF,helicase-like transcription factor,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
HMG20A,high mobility group 20A,Chromatin remodeling cofactor,#,H3K4,#,,,,,,,,,,,
HMG20B,high mobility group 20B,Chromatin remodeling,#,#,#,,,,,,,,,,,
HMGB1,high mobility group box 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
HMGN1,high mobility group nucleosome binding domain 1,Chromatin remodeling,#,H1,#,,,,,,,,,,,
HMGN2,high mobility group nucleosomal binding domain 2,Chromatin remodeling,#,H1,#,,,,,,,,,,,
HMGN3,high mobility group nucleosomal binding domain 3,Chromatin remodeling,#,H1,#,,,,,,,,,,,
HMGN4,high mobility group nucleosomal binding domain 4,Chromatin remodeling,#,H1,#,,,,,,,,,,,
HMGN5,high mobility group nucleosome binding domain 5,Chromatin remodeling,#,H1,#,,,,,,,,,,,
HP1BP3,heterochromatin protein 1, binding protein 3,Chromatin remodeling,#,#,#,,,,,,,,,,
HR,hair growth associated,Histone modification erase,Histone methylation,H3K9me1, H3K9me2,H3K9,,,,,,,,,,
HSPA1A,heat shock 70kDa protein 1A,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,#,#,,,,,,,,,
HSPA1B,heat shock 70kDa protein 1B,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,#,#,,,,,,,,,
HUWE1,HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase,Histone modification write,Histone ubiquitination,H3K9,#,,,,,,,,,
IKBKAP,inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase complex-associated protein,Scaffold protein,#,RNA,#,,,,,,,,,,
IKZF1,IKAROS family zinc finger 1 (Ikaros),Chromatin remodeling, TF,#,DNA motif,#,,,,,,,,,,
IKZF3,IKAROS family zinc finger 3 (Aiolos),TF,#,DNA motif,#,,,,,,,,,,,
ING1,inhibitor of growth family, member 1,Histone modification read,#,H3K4me3,#,,,,,,,,,,
ING2,inhibitor of growth family, member 2,Histone modification read,#,H3K4me3,#,,,,,,,,,,
ING3,inhibitor of growth family, member 3,Chromatin remodeling, Histone modification write cofactor,Histone acetylation,H2A, H4,#,,,,,,,,
ING4,inhibitor of growth family, member 4,Histone modification read,#,H3K4me3,#,,,,,,,,,,
ING5,inhibitor of growth family, member 5,Histone modification read,#,H3K4me3, H3K4me2,#,,,,,,,,,
INO80,INO80 complex subunit,Chromatin remodeling,#,#,#,,,,,,,,,,,
INO80B,INO80 complex subunit B,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
INO80C,INO80 complex subunit C,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
INO80D,INO80 complex subunit D,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
INO80E,INO80 complex subunit E,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
JADE1,jade family PHD finger 1,Histone modification write,Histone acetylation,H3, H4,H3ac, H4ac,,,,,,,,,
JADE2,jade family PHD finger 2,Histone modification write,Histone acetylation,H3, H4,H3ac, H4ac,,,,,,,,,
JADE3,jade family PHD finger 3,Histone modification write,Histone acetylation,H3, H4,H3ac, H4ac,,,,,,,,,
JAK2,Janus kinase 2,Histone modification write,Histone phosphorylation,H3T41,H3T41ph,,,,,,,,,,,
JARID2,jumonji, AT rich interactive domain 2,Histone modification write cofactor,Histone methylation,H3K27, H3K9,#,,,,,,,,,
JDP2,Jun dimerization protein 2,Chromatin remodeling, Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
JMJD1C,jumonji domain containing 1C,Histone modification erase,Histone methylation,H3K9me,H3K9,,,,,,,,,,,
JMJD6,jumonji domain containing 6,Histone modification erase,Histone methylation,H3R2me, H4R3me,H3R2, H4R3,,,,,,,,,
KANSL1,KAT8 regulatory NSL complex subunit 1,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,H4,H4ac,,,,,,,,,
KANSL2,KAT8 regulatory NSL complex subunit 2,Histone modification write cofactor,Histone acetylation,H5,H4ac,,,,,,,,,,,
KANSL3,KAT8 regulatory NSL complex subunit 3,Histone modification write cofactor,Histone acetylation,H6,H4ac,,,,,,,,,,,
KAT2A,K(lysine) acetyltransferase 2A,Histone modification write,Histone acetylation,#,#,,,,,,,,,,,
KAT2B,K(lysine) acetyltransferase 2B,Histone modification write,Histone acetylation,#,#,,,,,,,,,,,
KAT5,K(lysine) acetyltransferase 5,Histone modification write,Histone acetylation,H2AK5, H3K14, H4K5,H4K8, H4K12, H4K16,H2AK5ac, H3K14ac, H4K5ac, H4K8ac, H4K12ac, H4K16ac,
KAT6A,K(lysine) acetyltransferase 6A,Histone modification write,Histone acetylation,H3, H4,H3ac, H4ac,,,,,,,,,
KAT6B,K(lysine) acetyltransferase 6B,Histone modification write,Histone acetylation,H3,H3ac,,,,,,,,,,,
KAT7,K(lysine) acetyltransferase 7,Histone modification write,Histone acetylation,H4,H4ac,,,,,,,,,,,
KAT8,K(lysine) acetyltransferase 8,Histone modification write,Histone acetylation,H2A, H3, H4,H2Aac, H3ac, H4ac,,,,,,,
KDM1A,lysine (K)-specific demethylase 1A,Histone modification erase,Histone methylation,H3K4me1, H3K4me2, H3K9me,H3K4, H3K9,,,,,,,,
KDM1B,lysine (K)-specific demethylase 1B,Histone modification erase,Histone methylation,H3K4me1, H3K4me2,H3K4,,,,,,,,,,
KDM2A,lysine (K)-specific demethylase 2A,Histone modification erase,Histone methylation,H3K36me2,H3K36,,,,,,,,,,,
KDM2B,lysine (K)-specific demethylase 2B,Histone modification erase,Histone methylation,H3K4me3, H3K36me2,H3K4, H3K36,,,,,,,,,
KDM3A,lysine (K)-specific demethylase 3A,Histone modification erase,Histone methylation,H3K9me1, H3K9me2,H3K9,,,,,,,,,,
KDM3B,lysine (K)-specific demethylase 3B,Histone modification erase,Histone methylation,H3K9me1, H3K9me2,H3K9,,,,,,,,,,
KDM4A,lysine (K)-specific demethylase 4A,Histone modification erase,Histone methylation,H3K4me3, H3K36me3,H3K4me2, H3K36me2,,,,,,,,,
KDM4B,lysine (K)-specific demethylase 4B,Histone modification erase,Histone methylation,H3K9me3,H3K9me1, H3K9me2,,,,,,,,,,
KDM4C,lysine (K)-specific demethylase 4C,Histone modification erase,Histone methylation,H3K9me3, H3K36me3,H3K9me1, H3K9me2,,,,,,,,,
KDM4D,lysine (K)-specific demethylase 4D,Histone modification erase,Histone methylation,H3K9me3,H3K9me1, H3K9me2,,,,,,,,,,
KDM4E,lysine (K)-specific demethylase 4E,Histone modification erase,Histone methylation,H3K9me2, H3K9me3,H3K9,,,,,,,,,,
KDM5A,lysine (K)-specific demethylase 5A,Histone modification erase,Histone methylation,H3K4me3,H3K4,,,,,,,,,,,
KDM5B,lysine (K)-specific demethylase 5B,Histone modification erase,Histone methylation,H3K4me3,H3K4,,,,,,,,,,,
KDM5C,lysine (K)-specific demethylase 5C,Histone modification erase,Histone methylation,H3K4me3,H3K4me2, H3K4me1,,,,,,,,,,
KDM5D,lysine (K)-specific demethylase 5D,Histone modification erase,Histone methylation,H3K4me3, H3K4me2,H3K4,,,,,,,,,,
KDM6A,lysine (K)-specific demethylase 6A,Histone modification erase,Histone methylation,H3K27me2. H3K27me3,H3K27,,,,,,,,,,,
KDM6B,lysine (K)-specific demethylase 6B,Histone modification erase,Histone methylation,H3K27me2. H3K27me4,H3K28,,,,,,,,,,,
KDM7A,lysine (K)-specific demethylase 7A,Histone modification erase,Histone methylation,H3K9me2, H3K27me2, H4K20me1,H3K9, H3K27, H4K20,,,,,,,
KDM8,lysine (K)-specific demethylase 8,Histone modification erase,Histone methylation,H3K36me2,H3K36,,,,,,,,,,,
KEAP1,kelch-like ECH-associated protein 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
KMT2A,lysine (K)-specific methyltransferase 2A,Histone modification write,Histone methylation,H3K4,H3K4me,,,,,,,,,,,
KMT2B,lysine (K)-specific methyltransferase 2B,Histone modification write,Histone methylation,H3K4,H3K4me3,,,,,,,,,,,
KMT2C,lysine (K)-specific methyltransferase 2C,Histone modification write,Histone methylation,H3K4,H3K4me,,,,,,,,,,,
KMT2D,lysine (K)-specific methyltransferase 2D,Histone modification write,Histone methylation,H3K4,H3K4me,,,,,,,,,,,
KMT2E,lysine (K)-specific methyltransferase 2E,Histone modification write,Histone methylation,H3K4,H3K4me1, H3K4me2,,,,,,,,,,
L3MBTL1,l(3)mbt-like 1 (Drosophila),Histone modification read,#,H1BK26, H4K20,#,,,,,,,,,,
L3MBTL2,l(3)mbt-like 2 (Drosophila),Histone modification read,#,H3K4, H3K9, H3K27, H4K20,#,,,,,,,,
L3MBTL3,l(3)mbt-like 3 (Drosophila),Histone modification read,#,H4K20me,#,,,,,,,,,,,
L3MBTL4,l(3)mbt-like 4 (Drosophila),Histone modification read,#,HKme,#,,,,,,,,,,,
LAS1L,LAS1-like (S. cerevisiae),Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,H3K4, H3,H4,H2A,H3K4me, H3K4me2, H3Ac, H4Ac, H2AAc,,
LBR,lamin B receptor,#,#,#,#,,,,,,,,,,,
LEO1,Leo1, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae),Histone modification write cofactor,Histone ubiquitination,#,#,,,,,,,,,
LRWD1,leucine-rich repeats and WD repeat domain containing 1,Chromatin remodeling,#,H3K9me3, H3K27me3,#,,,,,,,,,,
MAP3K7,mitogen-activated protein kinase kinase kinase 7,Histone modification write,#,#,#,,,,,,,,,,,
MAPKAPK3,mitogen-activated protein kinase-activated protein kinase 3,Chromatin remodeling,#,#,#,,,,,,,,,,,
MASTL,microtubule associated serine/threonine kinase-like,Histone modification write,Histone phosphorylation,H1, H3,H1p, H3p,,,,,,,,,
MAX,MYC associated factor X,Histone modification write cofactor, TF,Histone methylation, Histone acetylation, TF activator, TF repressor,DNA motif,#,,,,,,,
MAZ,MYC-associated zinc finger protein (purine-binding transcription factor),Chromatin remodeling,#,#,#,,,,,,,,,,,
MBD1,methyl-CpG binding domain protein 1,Histone modification write cofactor, TF,Histone methylation, TF repressor,mCG, DNA motif,#,,,,,,,,
MBD2,methyl-CpG binding domain protein 2,Histone modification write cofactor, Histone modification erase cofactor, TF,Histone methylation, Histone acetylation, TF repressor,mCG, DNA motif,#,,,,,,
MBD3,methyl-CpG binding domain protein 3,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
MBD4,methyl-CpG binding domain protein 4,DNA modification,#,G:T, G:U,#,,,,,,,,,,
MBD5,methyl-CpG binding domain protein 5,Chromatin remodeling,#,#,#,,,,,,,,,,,
MBD6,methyl-CpG binding domain protein 6,Chromatin remodeling,#,#,#,,,,,,,,,,,
MBIP,MAP3K12 binding inhibitory protein 1,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
MBTD1,mbt domain containing 1,Polycomb group (PcG) protein,#,H4K20me1, H4K20me2,#,,,,,,,,,,
MCRS1,microspherule protein 1,Histone modification write,Histone acetylation,H4K5, H4K8, H4K16,H4K5ac, H4K8ac, H4K16ac,,,,,,,
MDC1,mediator of DNA-damage checkpoint 1,Histone modification read,#,H2AX,#,,,,,,,,,,,
MEAF6,MYST/Esa1-associated factor 6,Histone modification write cofactor,Histone acetylation,H2A, H3K14, H4K5, H4K8, H4K12,H2Aac, H3K14ac, H4K5ac, H4K8ac, H4K12ac,,,
MECP2,methyl CpG binding protein 2,Histone modification write cofactor, Histone modification write cofactor, TF,Histone methylation, Histone acetylation, TF repressor,mCG, DNA motif,#,,,,,,
MEN1,multiple endocrine neoplasia I,Histone modification write cofactor,Histone methylation,H3K4,H3K4me,,,,,,,,,,,
MGA,MGA, MAX dimerization protein,Histone modification write cofactor, TF,Histone methylation, Histone acetylation, TF activator, TF repressor,DNA motif,#,,,,,,
MGEA5,meningioma expressed antigen 5 (hyaluronidase),Histone modification write,Histone acetylation,H3K14, H4K8,H3K14ac, H4K8ac,,,,,,,,,
MINA,MYC induced nuclear antigen,Histone modification erase,Histone methylation,H3K9me3,H3K9,,,,,,,,,,,
MLLT1,myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to,1,Chromatin remodeling cofactor,#,#,#,,,,,,,,,
MLLT10,myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to,10,Histone modification write cofactor,Histone methylation,H3K79,H3K79me3,,,,,,,,,
MLLT6,myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to,6,Histone modification write cofactor,Histone methylation,H3K79,H3K79me3,,,,,,,,,
MORF4L1,mortality factor 4 like 1,Histone modification read,#,H4,#,,,,,,,,,,,
MORF4L2,mortality factor 4 like 2,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
MOV10,Mov10 RISC complex RNA helicase,#,#,#,#,,,,,,,,,,,
MPHOSPH8,M-phase phosphoprotein 8,Histone modification read,#,H3K9me3, H3K9me2,#,,,,,,,,,,
MRGBP,MRG/MORF4L binding protein,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
MSH6,mutS homolog 6,Histone modification read,#,H3K36me3,#,,,,,,,,,,,
MSL1,male-specific lethal 1 homolog (Drosophila),Histone modification write,Histone ubiquitination,H2BK34,H2BK34ub,,,,,,,,,,,
MSL2,male-specific lethal 2 homolog (Drosophila),Histone modification write,Histone ubiquitination,H2BK34,H2BK34ub,,,,,,,,,,,
MSL3,male-specific lethal 3 homolog (Drosophila),Histone modification read,#,H4K20me1,#,,,,,,,,,,,
MST1,macrophage stimulating 1 (hepatocyte growth factor-like),Histone modification,#,#,#,,,,,,,,,,,
MTA1,metastasis associated 1,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
MTA2,metastasis associated 1 family, member 2,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,
MTA3,metastasis associated 1 family, member 3,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,
MTF2,metal response element binding transcription factor 2,Polycomb group (PcG) protein,#,H3K36me3,#,,,,,,,,,,,
MUM1,melanoma associated antigen (mutated) 1,Histone modification read,#,H3K36me, K3K79me, H4K20me,#,,,,,,,,,
MYBBP1A,MYB binding protein (P160) 1a,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
MYO1C,myosin IC,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
MYSM1,Myb-like, SWIRM and MPN domains 1,Histone modification erase,Histone ubiquitination,H2Aub,H2A,,,,,,,,,,
NAA60,N(alpha)-acetyltransferase 60, NatF catalytic subunit,Histone modification write,Histone acetylation,H4K20, H4K79, H4K91,H4K20ac, H4K79ac, H4K91ac,,,,,,
NAP1L1,nucleosome assembly protein 1-like 1,Histone chaperone,#,#,#,,,,,,,,,,,
NAP1L2,nucleosome assembly protein 1-like 2,Histone modification cofactor,#,H3, H4,#,,,,,,,,,,
NAP1L4,nucleosome assembly protein 1-like 4,Histone modification cofactor,#,H3, H4,#,,,,,,,,,,
NASP,nuclear autoantigenic sperm protein (histone-binding),Chromatin remodeling,#,H1,#,,,,,,,,,,,
NAT10,N-acetyltransferase 10 (GCN5-related),Histone modification write,Histone acetylation,#,#,,,,,,,,,,,
NBN,nibrin,Chromatin remodeling,#,H2AX,#,,,,,,,,,,,
NCL,nucleolin,Histone chaperone,#,DNA motif, RNA motif,#,,,,,,,,,,
NCOA1,nuclear receptor coactivator 1,Histone modification write,Histone acetylation,H3, H4,#,,,,,,,,,,
NCOA2,nuclear receptor coactivator 2,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
NCOA3,nuclear receptor coactivator 3,Histone modification write,Histone acetylation,#,#,,,,,,,,,,,
NCOA6,nuclear receptor coactivator 6,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
NCOR1,nuclear receptor corepressor 1,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
NCOR2,nuclear receptor corepressor 2,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
NEK6,NIMA-related kinase 6,Histone modification write,Histone phosphorylation,H1, H3,H1ph, H3ph,,,,,,,,,
NEK9,NIMA-related kinase 9,Histone modification write,Histone phosphorylation,H1,H1ph,,,,,,,,,,,
NFRKB,nuclear factor related to kappaB binding protein,Chromatin remodeling cofactor, TF,#,DNA motif,#,,,,,,,,,,
NFYB,nuclear transcription factor Y, beta,Chromatin remodeling, TF,TF activator,DNA motif,#,,,,,,,,,
NFYC,nuclear transcription factor Y, gamma,Histone modification,#,#,#,,,,,,,,,,
NIPBL,Nipped-B homolog (Drosophila),Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
NOC2L,nucleolar complex associated 2 homolog (S. cerevisiae),Chromatin remodeling, TF,TF repressor,H3,#,,,,,,,,,,
NPAS2,neuronal PAS domain protein 2,Chromatin remodeling, TF,TF activator,DNA motif,#,,,,,,,,,,
NPM1,nucleophosmin (nucleolar phosphoprotein B23, numatrin),Histone chaperone,#,H3, H2B, H4,#,,,,,,,,
NPM2,nucleophosmin/nucleoplasmin 2,Histone chaperone,#,H2A, H2B,#,,,,,,,,,,
NSD1,nuclear receptor binding SET domain protein 1,Histone modification write,Histone methylation,H3K36, H4K20,H3K36me, H4K20me,,,,,,,,,
NSL1,NSL1, MIS12 kinetochore complex component,Histone modification write cofactor,Histone acetylation,H4K16,H4K16ac,,,,,,,,,,
OGT,O-linked N-acetylglucosamine (GlcNAc) transferase,Histone modification write,Histone GlcNAcylation,H2BS112,H2BS112GlcNa,,,,,,,,,,,
PADI1,peptidyl arginine deiminase, type I,Histone modification,Histone citrullination,H2AR, H3R, H4R,H2ARci, H3Rci, H4Rci,,,,,,
PADI2,peptidyl arginine deiminase, type II,Histone modification,Histone citrullination,H2AR, H3R, H4R,H2ARci, H3Rci, H4Rci,,,,,,
PADI3,peptidyl arginine deiminase, type III,Histone modification,Histone citrullination,H2AR, H3R, H4R,H2ARci, H3Rci, H4Rci,,,,,,
PADI4,peptidyl arginine deiminase, type IV,Histone modification,Histone citrullination,H2AR, H3R2, H3R8, H3R17, H3R26, H4R,H2ARci, H3R2ci, H3R8ci, H3R17ci, H3R26ci, H4Rci
PAF1,Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae),Histone modification write cofactor,Histone ubiquitination,H2, H3,#,,,,,,,,
PAGR1,PAXIP1 associated glutamate-rich protein 1,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,#,#,,,,,,,,,
PAK2,p21 protein (Cdc42/Rac)-activated kinase 2,Histone modification write,Histone phosphorylation,H4S47,H4S47ph,,,,,,,,,,,
PARG,poly (ADP-ribose) glycohydrolase,Chromatin remodeling,#,H3K9,#,,,,,,,,,,,
PARP1,poly (ADP-ribose) polymerase 1,Chromatin remodeling,#,H1,#,,,,,,,,,,,
PARP2,poly (ADP-ribose) polymerase 2,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,,
PARP3,poly (ADP-ribose) polymerase family, member 3,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,
PAXIP1,PAX interacting (with transcription-activation domain) protein 1,Histone modification write cofactor,Histone methylation,H3K4,H3K4me3,,,,,,,,,,,
PBK,PDZ binding kinase,Histone modification write,Histone phosphorylation,H3S10,H3S10ph,,,,,,,,,,,
PBRM1,polybromo 1,Histone modification read,#,H3,#,,,,,,,,,,,
PCGF1,polycomb group ring finger 1,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PCGF2,polycomb group ring finger 2,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PCGF3,polycomb group ring finger 3,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PCGF5,polycomb group ring finger 5,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PCGF6,polycomb group ring finger 6,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PCNA,proliferating cell nuclear antigen,Chromatin remodeling,#,H2A, H2B,#,,,,,,,,,,
PDP1,pyruvate dehyrogenase phosphatase catalytic subunit 1,Histone modification read,#,H4K20me3,#,,,,,,,,,,,
PELP1,proline, glutamate and leucine rich protein 1,Histone modification read, Histone modification write cofactor,Histone methylation, Histone acetylation,H1, H3, H4,#,,,,,,
PHC1,polyhomeotic homolog 1 (Drosophila),Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PHC2,polyhomeotic homolog 2 (Drosophila),Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PHC3,polyhomeotic homolog 3 (Drosophila),Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PHF1,PHD finger protein 1,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
PHF10,PHD finger protein 10,Chromatin remodeling,#,#,#,,,,,,,,,,,
PHF12,PHD finger protein 12,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
PHF13,PHD finger protein 13,Histone modification read,#,H3K4me3,#,,,,,,,,,,,
PHF14,PHD finger protein 14,Histone modification read,#,H2A, H2B, H3,H2Aac, H2Bac, H3ac,,,,,,,
PHF19,PHD finger protein 19,Chromatin remodeling, Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,
PHF2,PHD finger protein 2,Histone modification erase,Histone methylation,H3K9me2,H3K9,,,,,,,,,,,
PHF20,PHD finger protein 20,Histone modification write,Histone acetylation,H4,H4ac,,,,,,,,,,,
PHF20L1,PHD finger protein 20-like 1,Histone modification read,#,H3K4me,#,,,,,,,,,,,
PHF21A,PHD finger protein 21A,Histone modification erase cofactor,Histone methylation,#,#,,,,,,,,,,,
PHF8,PHD finger protein 8,Histone modification erase,Histone methylation,H3K9me1, H3K9me2, H3K27me2, H4K20me1, H3K36me2, H3K36me3, H3K4me3,H3K9, H3K27, H4K20, H3K36, H3K4,
PHIP,pleckstrin homology domain interacting protein,Histone modification read,#,H3,#,,,,,,,,,,,
PIWIL4,piwi-like RNA-mediated gene silencing 4,Chromatin remodeling, Histone modification erase cofactor,Histone methylation,H3K9,#,,,,,,,,,,
PKM,pyruvate kinase, muscle,Histone modification write cofactor,Histone phosphorylation,H3S10, H3S28, H2BS32,H3S10ph, H3S28ph, H2BS32ph, H3T11ph,,,,,
PKN1,protein kinase N1,Histone modification write,Histone phosphorylation,H3T11,H3T11ph,,,,,,,,,,,
POGZ,pogo transposable element with ZNF domain,Histone modification read,Histone methylation,H3K9me3,#,,,,,,,,,,,
POLE3,polymerase (DNA directed), epsilon 3, accessory subunit,Histone chaperone,#,#,#,,,,,,,,,
PPARGC1A,peroxisome proliferator-activated receptor gamma, coactivator 1 alpha,Histone modification cofactor,#,#,#,,,,,,,,,,
PPM1G,protein phosphatase, Mg2+/Mn2+ dependent, 1G,Chromatin remodeling,#,#,#,,,,,,,,,
PPP2CA,protein phosphatase 2, catalytic subunit, alpha isozyme,Histone modification write,Histone phosphorylation,H2AX,H2AXph,,,,,,,,,
PPP4C,protein phosphatase 4, catalytic subunit,Histone modification erase,Histone phosphorylation,H2AXS139ph,H2AXS139,,,,,,,,,,
PPP4R2,protein phosphatase 4, regulatory subunit 2,Histone modification cofactor,#,#,#,,,,,,,,,,
PRDM1,PR domain containing 1, with ZNF domain,Histone modification write cofactor,Histone methylation,H3K9,H3K9me,,,,,,,,,,
PRDM11,PR domain containing 11,Histone modification write,Histone methylation,#,#,,,,,,,,,,,
PRDM12,PR domain containing 12,Histone modification write cofactor,Histone methylation,H3K9,H3K9me,,,,,,,,,,,
PRDM13,PR domain containing 13,Histone modification write,Histone methylation,#,#,,,,,,,,,,,
PRDM14,PR domain containing 14,DNA modification,DNA demethylation,mC,#,,,,,,,,,,,
PRDM16,PR domain containing 16,Histone modification write cofactor, TF,Histone methylation, TF repressor,H3K9, DNA motif,H3K9me,,,,,,,,
PRDM2,PR domain containing 2, with ZNF domain,Histone modification write,Histone methylation,H3K9,H3K9me,,,,,,,,,,
PRDM4,PR domain containing 4,Histone modification write,Histone methylation,H4R3,H4R3me2s,,,,,,,,,,,
PRDM5,PR domain containing 5,Histone modification write,Histone methylation,H3K9,H3K9me,,,,,,,,,,,
PRDM6,PR domain containing 6,Histone modification write,Histone methylation,H3R2, H4K20,H3R2me1, H3R2me2, H4K20me1,,,,,,,,
PRDM7,PR domain containing 7,Histone modification write,Histone methylation,#,#,,,,,,,,,,,
PRDM8,PR domain containing 8,Histone modification write,Histone methylation,#,#,,,,,,,,,,,
PRDM9,PR domain containing 9,Histone modification write,Histone methylation,H3K4,H3K4me3,,,,,,,,,,,
PRKAA1,protein kinase, AMP-activated, alpha 1 catalytic subunit,Histone modification write,Histone phosphorylation,H2BS36,H2BS36ph,,,,,,,,,
PRKAA2,protein kinase, AMP-activated, alpha 2 catalytic subunit,Histone modification write,Histone phosphorylation,H2BS36,H2BS36ph,,,,,,,,,
PRKAB1,protein kinase, AMP-activated, beta 1 non-catalytic subunit,Histone modification write cofactor,Histone phosphorylation,#,#,,,,,,,,,
PRKAB2,protein kinase, AMP-activated, beta 2 non-catalytic subunit,Histone modification write cofactor,Histone phosphorylation,#,#,,,,,,,,,
PRKAG1,protein kinase, AMP-activated, gamma 1 non-catalytic subunit,Histone modification write cofactor,Histone phosphorylation,#,#,,,,,,,,,
PRKAG2,protein kinase, AMP-activated, gamma 2 non-catalytic subunit,Histone modification write cofactor,Histone phosphorylation,#,#,,,,,,,,,
PRKAG3,protein kinase, AMP-activated, gamma 3 non-catalytic subunit,Histone modification write cofactor,Histone phosphorylation,#,#,,,,,,,,,
PRKCA,protein kinase C, alpha,Histone modification write cofactor,Histone phosphorylation,H3,#,,,,,,,,,,
PRKCB,protein kinase C, beta,Histone modification write,Histone methylation,H3T6,H3T6ph,,,,,,,,,,
PRKCD,protein kinase C, delta,Histone modification,#,#,#,,,,,,,,,,
